outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,37.06666666663804,17.223914153540854,46.39999999997216,17.208395607030774,39.46666666663741,17.13712344593939,36.39999999997094
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,30.508225108195216,10.246156990419694,44.2138528138236,14.855867932600995,41.652813852782984,19.50362233746285,44.05151515148429
County population,Wooldridge ETWFE,NA,NA,-163613.0602130823,86993.04096361563,-97243.23099076468,48276.25089140885,74652.8084517348,97516.89889514538,386784.4980072899
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-172084.17011779218,40336.28540264371,-100066.93429237371,31858.101868982292,77476.5117532158,81714.84633644644,396667.459562639
STEM births (count),Wooldridge ETWFE,NA,NA,-3.7946666666696465,4.222677611343085,-2.0373333333363433,2.4473004880526057,3.4959999999966964,1.4729356237482274,7.763999999996517
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,-1.5463549783575103,1.8603164364573832,-1.2878961038985637,1.659160113926326,2.7465627705600175,0.8618240179572196,5.140969696966776
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,8.628883167512024e-4,0.03524399836659077,0.006621096439955895,0.01656696197865327,0.08569489865219114,0.021808149937267148,0.04897247558492751
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.01761418947152927,0.027725624532496086,4.620705105327625e-4,0.01395684280564496,0.09185392458162511,0.02853976630012686,0.07052906633793289
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,-0.001614613699300109,0.020349024579687566,0.001203847175273751,0.008788360801845776,0.04249872575716157,0.010348971367352593,0.025008695415206554
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.010679202382273375,0.016119698425515458,-0.0018176823857155855,0.007438364888370139,0.04552025531815636,0.013848072901378098,0.03558404887868133
