spec,outcome,estimator,conf_low,conf_high,event_time,att,se
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-1.1389392393774012,6.138939239377955,-50,2.500000000000277,1.8566016527437135
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-5.34867269624808,3.6820060295819252,-40,-0.8333333333330777,2.303744572915818
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-7.175895392155231,14.175895392155702,-30,3.5000000000002354,5.446885404160952
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-7.052963848346133,11.55296384834669,-20,2.250000000000279,4.746410126707353
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-10.06075790685086,19.527424573517983,0,4.733333333333562,7.548005734787971
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-18.03725156346014,17.537251563460714,10,-0.24999999999971045,9.075128348704299
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-10.67610312499918,19.67610312499899,20,4.499999999999903,7.742909757652594
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-14.89066303883866,24.49066303883893,30,4.800000000000135,10.046256652468774
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-38.87384780555632,57.873847805556935,40,9.500000000000302,24.68053459467175
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE,-72.08762115784654,127.08762115784722,50,27.500000000000338,50.81001079481984
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-41.80059744320459,85.87202601463471,-50,22.035714285715066,32.56954680046921
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-24.8332253184115,50.102272937460334,-40,12.634523809524417,19.116198534661184
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-44.40790190337455,86.35075904623329,-30,20.97142857142937,33.35680126265506
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-42.09505032118403,79.4736217497571,-20,18.689285714286534,31.01241634462784
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-25.596249335983597,50.00577314550843,0,12.204761904762417,19.286230224870415
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-46.20706614392587,72.39278042964165,10,13.092857142857891,30.255062901420285
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-37.8014064783154,69.62283504974384,20,15.910714285714219,27.40414324695389
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-33.76248879641298,60.92820308212808,30,13.58285714285755,24.155788744525783
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-60.54786459534464,100.04072173820333,40,19.74642857142934,40.96647610549693
High access only (not-yet-treated controls),STEM births (count),Wooldridge ETWFE + county pre-period trend,-91.64079491139327,165.06936633996636,50,36.71428571428655,65.48728603351012
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-18.76948759618545,118.76948759619194,-50,50.00000000000325,35.08647326336158
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-18.982320656282987,102.31565398962158,-40,41.66666666666929,30.943360879057288
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-43.769487596185655,93.76948759619182,-30,25.000000000003084,35.086473263361604
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-18.76948759618559,118.76948759619188,-20,50.00000000000315,35.086473263361604
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-75.1858565250265,21.85252319169729,0,-26.6666666666646,24.754688703245865
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-93.76948759618564,43.769487596191894,10,-24.99999999999687,35.08647326336162
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,74.9999993491755,75.00000065082246,20,74.99999999999898,3.320527993257301e-7
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-75.01559007694974,35.01559007695245,30,-19.999999999998643,28.069178610689335
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-118.76948759618554,18.76948759619208,40,-49.99999999999673,35.08647326336164
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE,-118.76948759618548,18.769487596191844,50,-49.999999999996824,35.08647326336157
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-161.36462577366976,165.65034005938273,-50,2.142857142856485,83.42218516149298
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-77.00011948697633,104.97630996316605,-40,13.98809523809485,46.422558533199584
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-163.59935434865147,127.17078292007908,-30,-18.214285714286195,74.17605542569656
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-127.37517923046354,145.58946494474847,-20,9.107142857142463,69.63383779979898
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,0,0,-10,0,0
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-87.95135815117183,5.1894533892661485,0,-41.38095238095284,23.760411107254587
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-169.64182376281062,51.7846809056669,10,-58.92857142857186,56.48635323175447
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-119.49769302203894,116.28340730775311,20,-1.6071428571429145,60.148239880049
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-131.22159101601142,20.364448158867937,30,-55.428571428571736,38.66990795277535
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-164.2837965334454,10.355225104873668,40,-76.96428571428586,44.550770826101804
High access only (not-yet-treated controls),Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,-155.05750227367565,5.771787987961105,50,-74.64285714285727,41.02788016878488
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.04879263746935488,0.15564417795355,-50,0.05342577024209757,0.0521522488323737
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.02007193259286674,0.05631026834030049,-40,0.01811916787371688,0.019485255340093682
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.028057668918275713,0.04451883359404672,-30,0.008230582337885504,0.018514413906204702
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.01769060982961511,0.02283137611257932,-20,0.0025703831414821063,0.010337241311784293
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,0,0,-10,0,0
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.02289414178411634,0.02873133005986843,0,0.0029185941378760435,0.01316976322550632
High access only (not-yet-treated controls),"STEM births per 1,000 population",Wooldridge ETWFE,-0.0562030681775473,-0.010958586267170632,10,-0.033580827222358965,0.011541959671014455
