outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
STEM births (count),-50,2,2,0,5,5
STEM births (count),-40,1.2,2.52,-1.32,5,4.8
STEM births (count),-30,3.4,2.28,1.12,5,4.2
STEM births (count),-20,3.4,2.88,0.52,5,4.2
STEM births (count),-10,5.6,4.8,0.7999999999999998,5,3.6
STEM births (count),0,9.2,1.75,7.449999999999999,5,1.4
STEM births (count),10,7.4,1.5,5.9,5,0.8
STEM births (count),20,7.4,0.5,6.9,5,0.8
STEM births (count),30,11.4,0,11.4,5,0.2
STEM births (count),40,17.2,NA,NA,5,0
STEM births (count),50,34.4,NA,NA,5,0
Any STEM birth (pp),-50,40,40,0,5,5
Any STEM birth (pp),-40,40,37,3,5,4.8
Any STEM birth (pp),-30,40,32,8,5,4.2
Any STEM birth (pp),-20,60,52,8,5,4.2
Any STEM birth (pp),-10,20,23,-3,5,3.6
Any STEM birth (pp),0,60,6.25,53.75,5,1.4
Any STEM birth (pp),10,80,75,5,5,0.8
Any STEM birth (pp),20,100,25,75,5,0.8
Any STEM birth (pp),30,60,0,60,5,0.2
Any STEM birth (pp),40,60,NA,NA,5,0
Any STEM birth (pp),50,60,NA,NA,5,0
"STEM births per 1,000 population",-50,0.042740616193676924,0.03266045899387616,0.010080157199800766,5,5
"STEM births per 1,000 population",-40,0.016959544774505002,0.02057200796008764,-0.0036124631855826393,5,4.8
"STEM births per 1,000 population",-30,0.017147474215083856,0.013680393483951314,0.0034670807311325425,5,4.2
"STEM births per 1,000 population",-20,0.012760580863736158,0.011700353481472008,0.0010602273822641495,5,4.2
"STEM births per 1,000 population",-10,0.00739263142659702,0.007789334682588225,-3.967032559912048e-4,5,3.6
"STEM births per 1,000 population",0,0.039747441777625,0.0023101973208115687,0.03743724445681343,5,1.4
"STEM births per 1,000 population",10,0.02222924291294014,0.005761032377001958,0.01646821053593818,5,0.8
"STEM births per 1,000 population",20,0.019249995764078803,0.0019203441256673195,0.017329651638411485,5,0.8
"STEM births per 1,000 population",30,0.01764745547519032,0,0.01764745547519032,5,0.2
"STEM births per 1,000 population",40,0.012466584162738293,NA,NA,5,0
"STEM births per 1,000 population",50,0.018981976567943516,NA,NA,5,0
"STEM births per 1,000 est. births",-50,0.08296208873171607,0.06230143891474503,0.020660649816971036,5,5
"STEM births per 1,000 est. births",-40,0.028443034382864614,0.037439249682415784,-0.00899621529955117,5,4.8
"STEM births per 1,000 est. births",-30,0.029479235527209397,0.02337614819289856,0.006103087334310836,5,4.2
"STEM births per 1,000 est. births",-20,0.02323702814951678,0.02118975728421502,0.002047270865301761,5,4.2
"STEM births per 1,000 est. births",-10,0.0151240452254152,0.01531459290443322,-1.9054767901801987e-4,5,3.6
"STEM births per 1,000 est. births",0,0.08356810375543008,0.00472626413294225,0.07884183962248784,5,1.4
"STEM births per 1,000 est. births",10,0.04906061504285003,0.012672124584966308,0.036388490457883726,5,0.8
"STEM births per 1,000 est. births",20,0.044568064941637967,0.004224041528322103,0.04034402341331586,5,0.8
"STEM births per 1,000 est. births",30,0.04627443686322424,0,0.04627443686322424,5,0.2
"STEM births per 1,000 est. births",40,0.0361614175319933,NA,NA,5,0
"STEM births per 1,000 est. births",50,0.059029140410331506,NA,NA,5,0
County population,-50,53778.116105651854,54925.79442626953,-1147.678320617677,5,5
County population,-40,79769.82433319092,99849.28720977783,-20079.462876586913,5,4.8
County population,-30,114249.78697814941,103094.13999816895,11155.646979980462,5,4.2
County population,-20,159428.82849121094,142393.42647094728,17035.40202026366,5,4.2
County population,-10,266675.3051940918,263855.51084350585,2819.7943505859585,5,3.6
County population,0,357393.7203125,235850.50317382813,121543.2171386719,5,1.4
County population,10,498175.13125,249380,248795.13124999998,5,0.8
County population,20,585582.0390625,300123,285459.0390625,5,0.8
County population,30,745015.3625,313374,431641.36250000005,5,0.2
County population,40,982356.73125,NA,NA,5,0
County population,50,1297362.7625,NA,NA,5,0
