outcome,estimator,lead_m60,se_m60,lead_m40,se_m40,lead_m20,se_m20,post_0,se_0,post_avg_0_60
Any STEM birth (pp),Wooldridge ETWFE,NA,NA,41.66666666666929,30.943360879057288,50.00000000000315,35.086473263361604,-26.6666666666646,24.754688703245865,-16.111111111109114
Any STEM birth (pp),Wooldridge ETWFE + county pre-period trend,NA,NA,13.98809523809485,46.422558533199584,9.107142857142463,69.63383779979898,-41.38095238095284,23.760411107254587,-51.49206349206375
County population,Wooldridge ETWFE,NA,NA,-1169941.371171306,1747724.0973515622,-1606486.0800247074,2450092.8142503016,-752114.4830729114,1101818.9472534715,-1034115.8734157878
County population,Wooldridge ETWFE + county pre-period trend,NA,NA,-499070.3545442043,1261726.7712833122,-835480.1236567897,1852653.7961448636,-375626.1187905985,831755.5109936245,-630915.5403284994
STEM births (count),Wooldridge ETWFE,NA,NA,-0.8333333333330777,2.303744572915818,2.250000000000279,4.746410126707353,4.733333333333562,7.548005734787971,8.463888888889088
STEM births (count),Wooldridge ETWFE + county pre-period trend,NA,NA,12.634523809524417,19.116198534661184,18.689285714286534,31.01241634462784,12.204761904762417,19.286230224870415,18.541984126984662
"STEM births per 1,000 est. births",Wooldridge ETWFE,NA,NA,0.029252107467993962,0.033238974802186246,-3.8548356676776016e-4,0.018288420332372463,0.0021983473368312155,0.02863339923340141,-0.028527687681919593
"STEM births per 1,000 est. births",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.11915620346514888,0.16235455564301132,-0.1841953545172159,0.23638542769705642,-0.07989304846544396,0.08138294017665251,-0.14506855334311977
"STEM births per 1,000 population",Wooldridge ETWFE,NA,NA,0.01811916787371688,0.019485255340093682,0.0025703831414821063,0.010337241311784293,0.0029185941378760435,0.01316976322550632,-0.008764011752352143
"STEM births per 1,000 population",Wooldridge ETWFE + county pre-period trend,NA,NA,-0.062469900559420394,0.08387358783868225,-0.0971405642874652,0.12452032037403146,-0.041668081446614935,0.04460931047580727,-0.071837889108154307
