county_geoid,n_nearby_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any
01003,1,1892,St. Paul's School,low,1880
01097,1,1892,St. Paul's School,low,1880
01129,1,1892,St. Paul's School,low,1880
04013,1,1928,Brophy College Preparatory,low,1920
04021,1,1928,Brophy College Preparatory,low,1920
05045,1,1927,Little Rock Central High School,high,1920
05053,1,1927,Little Rock Central High School,high,1920
05069,1,1927,Little Rock Central High School,high,1920
05085,1,1927,Little Rock Central High School,high,1920
05105,1,1927,Little Rock Central High School,high,1920
05119,1,1927,Little Rock Central High School,high,1920
05125,1,1927,Little Rock Central High School,high,1920
05145,1,1927,Little Rock Central High School,high,1920
06001,1,1856,Lowell High School,high,1850
06013,1,1856,Lowell High School,high,1850
06029,1,1889,The Thacher School,low,1880
06037,2,1889,The Thacher School,low,1880
06041,1,1856,Lowell High School,high,1850
06075,1,1856,Lowell High School,high,1850
06079,1,1910,Cate School,low,1900
06081,1,1856,Lowell High School,high,1850
06083,2,1889,The Thacher School,low,1880
06095,1,1856,Lowell High School,high,1850
06111,2,1889,The Thacher School,low,1880
08001,2,1906,Colorado Academy,low,1900
08005,2,1906,Colorado Academy,low,1900
08013,1,1906,Colorado Academy,low,1900
08014,1,1906,Colorado Academy,low,1900
08019,1,1906,Colorado Academy,low,1900
08031,2,1906,Colorado Academy,low,1900
08035,3,1906,Colorado Academy,low,1900
08039,2,1926,Kent Denver School,low,1920
08041,1,1930,Fountain Valley School of Colorado,low,1920
08047,1,1906,Colorado Academy,low,1900
08059,1,1906,Colorado Academy,low,1900
08093,1,1906,Colorado Academy,low,1900
08101,1,1930,Fountain Valley School of Colorado,low,1920
08119,1,1930,Fountain Valley School of Colorado,low,1920
09001,9,1884,The Brearley School,low,1870
09003,4,1890,The Taft School,low,1880
09005,4,1890,The Taft School,low,1880
09007,2,1896,Choate School / Choate Rosemary Hall,low,1890
09009,4,1890,The Taft School,low,1880
09011,2,1889,Wheeler School,low,1880
09013,1,1914,Loomis Chaffee School,low,1900
09015,1,1889,Wheeler School,low,1880
10001,2,1919,Tower Hill School,low,1910
10003,4,1836,Central High School,high,1830
11001,2,1839,Episcopal High School,low,1830
12011,1,1903,Ransom Everglades School,low,1890
12021,1,1903,Ransom Everglades School,low,1890
12086,1,1903,Ransom Everglades School,low,1890
12087,1,1903,Ransom Everglades School,low,1890
13015,2,1888,Westminster Schools,low,1880
