design,spec,outcome,treated_counties,control_counties,first_cohort,last_cohort,overall_att,overall_se,p_value
County of school,Any exposure,STEM share zero-filled (pp),75,3065,1820,1920,5.809637489015821,3.71230760176093,0.11759073573528389
County of school,Any exposure,STEM share smoothed (pp),75,3065,1820,1920,3.8182056967844247,2.909493616048461,0.18940998029743072
County of school,Any exposure,STEM births (count),75,3065,1820,1920,1.952924992720928,0.560356372092451,4.918645657838727e-4
County of school,Any exposure,Any STEM birth (pp),75,3065,1820,1920,10.385052946664558,4.668366087101797,0.026110898599216448
County of school,High-access first exposure,STEM share zero-filled (pp),12,3065,1820,1920,1.5022233146596233,8.011284225774084,0.8512581015997827
County of school,High-access first exposure,STEM share smoothed (pp),12,3065,1820,1920,1.5881422694753273,6.977306598106683,0.8199452648574832
County of school,High-access first exposure,STEM births (count),12,3065,1820,1920,3.9368394219189073,2.399319766562965,0.10083586173181436
County of school,High-access first exposure,Any STEM birth (pp),12,3065,1820,1920,8.396463071236534,10.613345314904624,0.42887213713342764
County of school,Low-access first exposure,STEM share zero-filled (pp),63,3065,1820,1920,6.78359133761007,3.95548384878397,0.0863481685619889
County of school,Low-access first exposure,STEM share smoothed (pp),63,3065,1820,1920,4.326059103715923,3.2259365344509043,0.17991258117413622
County of school,Low-access first exposure,STEM births (count),63,3065,1820,1920,1.5106402721908394,0.46482989679119063,0.0011545468701092965
County of school,Low-access first exposure,Any STEM birth (pp),63,3065,1820,1920,10.84619121363327,5.729208829327392,0.05833932799117836
50 km radius,Any exposure,STEM share zero-filled (pp),443,2676,1820,1920,1.4252701425553347,1.387254554813416,0.30423051850546146
50 km radius,Any exposure,STEM share smoothed (pp),443,2676,1820,1920,0.8264185544931949,1.0237513836417753,0.4195251368848618
50 km radius,Any exposure,STEM births (count),443,2676,1820,1920,0.4377300704421234,0.15953127007995635,0.006072305154824598
50 km radius,Any exposure,Any STEM birth (pp),443,2676,1820,1920,2.216057868123756,1.705898167859816,0.19392458736100981
50 km radius,High-access first exposure,STEM share zero-filled (pp),78,2676,1820,1920,0.9854482060485197,3.0371048941023293,0.7455825350549836
50 km radius,High-access first exposure,STEM share smoothed (pp),78,2676,1820,1920,-1.3905773297946658,2.6163655169859594,0.595077886649237
50 km radius,High-access first exposure,STEM births (count),78,2676,1820,1920,0.15862403313035228,0.16722732190396244,0.3428478367281875
50 km radius,High-access first exposure,Any STEM birth (pp),78,2676,1820,1920,0.15647637371448844,4.267348152938644,0.9707494899088072
50 km radius,Low-access first exposure,STEM share zero-filled (pp),365,2676,1820,1920,1.5538436821752217,1.4649227631824435,0.28882622669909686
50 km radius,Low-access first exposure,STEM share smoothed (pp),365,2676,1820,1920,1.413003763812237,1.1877851885699142,0.23419884437501182
50 km radius,Low-access first exposure,STEM births (count),365,2676,1820,1920,0.510960359959494,0.19819078937410736,0.009933844609194331
50 km radius,Low-access first exposure,Any STEM birth (pp),365,2676,1820,1920,2.773772661361455,1.6844509872130378,0.099621284388967
