design,spec,outcome,event_time,att,se,conf_low,conf_high
County of school,Any exposure,STEM share zero-filled (pp),-60,-8.044167776516545,5.980870316609581,-19.766673597071325,3.6783380440382327
County of school,Any exposure,STEM share zero-filled (pp),-50,-6.106565747220337,5.480234908848267,-16.84782616856294,4.634694674122267
County of school,Any exposure,STEM share zero-filled (pp),-40,-4.937014766435165,5.08415881957094,-14.901966052794208,5.027936519923878
County of school,Any exposure,STEM share zero-filled (pp),-30,-1.1699641079191287,5.3973044933368435,-11.74868091485934,9.408752699021084
County of school,Any exposure,STEM share zero-filled (pp),-20,2.785499301799926,5.076506927503524,-7.164454276106981,12.735452879706834
County of school,Any exposure,STEM share zero-filled (pp),0,14.01710337151948,5.02791689138741,4.162386264400157,23.871820478638803
County of school,Any exposure,STEM share zero-filled (pp),10,2.4718651867805934,5.736831435477226,-8.77232442675477,13.716054800315957
County of school,Any exposure,STEM share zero-filled (pp),20,12.067825976380968,5.281245185011298,1.7165854137588248,22.41906653900311
County of school,Any exposure,STEM share zero-filled (pp),30,10.799065144147884,5.910810589928509,-0.7861236121119948,22.384253900407764
County of school,Any exposure,STEM share zero-filled (pp),40,10.79000321084069,4.666916012910375,1.6428478255363554,19.937158596145025
County of school,Any exposure,STEM share zero-filled (pp),50,18.542122379780235,5.518850341386367,7.725175710662956,29.359069048897513
County of school,Any exposure,STEM share zero-filled (pp),60,3.575183659614952,4.9470164621267845,-6.120968606153545,13.271335925383449
County of school,Any exposure,STEM share smoothed (pp),-60,-10.96532588588013,4.537201879750103,-19.85824157019033,-2.0724102015699284
County of school,Any exposure,STEM share smoothed (pp),-50,-7.934213271632122,4.2840085679545945,-16.330870064823127,0.4624435215588827
County of school,Any exposure,STEM share smoothed (pp),-40,-6.1861694315581595,4.01020692178966,-14.046174998265894,1.6738361351495739
County of school,Any exposure,STEM share smoothed (pp),-30,-3.432380890004809,4.070752543840492,-11.411055875932174,4.546294095922555
County of school,Any exposure,STEM share smoothed (pp),-20,2.2577478894174066,3.9577555273042493,-5.4994529440989215,10.014948722933735
County of school,Any exposure,STEM share smoothed (pp),0,9.876749987472742,3.71133916834161,2.602525217523186,17.150974757422297
County of school,Any exposure,STEM share smoothed (pp),10,2.529682431743539,3.933324602683001,-5.179633789515143,10.23899865300222
County of school,Any exposure,STEM share smoothed (pp),20,10.245783152460415,3.841887934350644,2.7156828011331537,17.775883503787675
County of school,Any exposure,STEM share smoothed (pp),30,9.115156600302797,4.5115837760919435,0.2724523991625869,17.957860801443005
County of school,Any exposure,STEM share smoothed (pp),40,8.3539040124614,3.906699302333301,0.6967733798881302,16.01103464503467
County of school,Any exposure,STEM share smoothed (pp),50,14.813365343510467,4.235280540351702,6.51221548442113,23.114515202599804
County of school,Any exposure,STEM share smoothed (pp),60,2.394882419143987,3.721306365365342,-4.898878056972084,9.688642895260058
County of school,Any exposure,STEM births (count),-60,-1.5782906439398072,0.9705214950622467,-3.4805127742618107,0.32393148638219627
County of school,Any exposure,STEM births (count),-50,-1.0547999500243004,0.6822426351459543,-2.391995514910371,0.2823956148617699
County of school,Any exposure,STEM births (count),-40,-1.124333287009746,0.8216951394972573,-2.73485576042437,0.4861891864048782
County of school,Any exposure,STEM births (count),-30,-0.9091038247946683,0.8438237257760828,-2.562998327315791,0.7447906777264539
County of school,Any exposure,STEM births (count),-20,-0.40955276607520535,0.567970130372216,-1.5227742216047488,0.703668689454338
County of school,Any exposure,STEM births (count),0,1.4714141051322502,1.1712884597543762,-0.8243112759863269,3.7671394862508274
County of school,Any exposure,STEM births (count),10,3.8507903303143003,3.6428678178055676,-3.2892305925846124,10.990811253213213
County of school,Any exposure,STEM births (count),20,3.612281650230131,2.6382934293030003,-1.5587734712037498,8.783336771664011
County of school,Any exposure,STEM births (count),30,5.4112058742536835,3.4250499548519144,-1.301892037256069,12.124303785763436
County of school,Any exposure,STEM births (count),40,3.8953306821284515,1.1291925659796498,1.682113252808338,6.108548111448565
County of school,Any exposure,STEM births (count),50,3.0737382136804294,1.26509427325294,0.5941534381046671,5.553322989256191
County of school,Any exposure,STEM births (count),60,2.005585157288971,1.1351719955993702,-0.21935195408579444,4.230522268663737
County of school,Any exposure,Any STEM birth (pp),-60,-17.221764463781984,8.122794741347152,-33.1424421568224,-1.3010867707415663
County of school,Any exposure,Any STEM birth (pp),-50,-15.699481669998654,6.945243133563906,-29.31215821178391,-2.086805128213399
County of school,Any exposure,Any STEM birth (pp),-40,-8.488930050886893,6.695502893126776,-21.612115721415375,4.634255619641589
County of school,Any exposure,Any STEM birth (pp),-30,-8.749413304951835,6.41043626721026,-21.313868388683943,3.815041778780275
County of school,Any exposure,Any STEM birth (pp),-20,-0.3327087447749982,5.935241775230078,-11.96578262422595,11.300365134675955
County of school,Any exposure,Any STEM birth (pp),0,13.519898717512838,5.8239121732379076,2.1050308579665398,24.934766577059136
County of school,Any exposure,Any STEM birth (pp),10,7.250554782027659,6.897581973025294,-6.268705885101917,20.769815449157235
County of school,Any exposure,Any STEM birth (pp),20,16.78847755153425,6.743184637427939,3.5718356621754896,30.00511944089301
County of school,Any exposure,Any STEM birth (pp),30,22.931724204218476,7.021122679481166,9.170323752435392,36.69312465600156
County of school,Any exposure,Any STEM birth (pp),40,21.50002002666466,6.355827682193911,9.042597769564596,33.95744228376473
County of school,Any exposure,Any STEM birth (pp),50,32.62395877779918,6.356752974307244,20.164722948156985,45.08319460744138
County of school,Any exposure,Any STEM birth (pp),60,16.018781946082346,6.602457817931472,3.07796462293666,28.95959926922803
County of school,High-access first exposure,STEM share zero-filled (pp),-60,-12.488857371830361,20.283835047390987,-52.2451740647167,27.267459321055973
County of school,High-access first exposure,STEM share zero-filled (pp),-50,-17.198968754727442,14.955580152356356,-46.5119058533459,12.113968343891017
County of school,High-access first exposure,STEM share zero-filled (pp),-40,-19.299154989221332,14.304189111284979,-47.33536564733989,8.737055668897227
County of school,High-access first exposure,STEM share zero-filled (pp),-30,-13.991704592749777,12.28045639364827,-38.06139912430039,10.077989938800833
County of school,High-access first exposure,STEM share zero-filled (pp),-20,1.6237224479442474,6.831796074768147,-11.76659785860132,15.014042754489816
County of school,High-access first exposure,STEM share zero-filled (pp),0,-1.2410493872457666,12.294735052542919,-25.338730090229888,22.856631315738355
County of school,High-access first exposure,STEM share zero-filled (pp),10,-6.5315898347189165,13.06026428560594,-32.12970783450656,19.066528165068725
County of school,High-access first exposure,STEM share zero-filled (pp),20,11.586543107222267,11.884861798872075,-11.707786018567,34.88087223301154
County of school,High-access first exposure,STEM share zero-filled (pp),30,7.868817813966176,9.120354822106775,-10.007077637363102,25.744713265295452
County of school,High-access first exposure,STEM share zero-filled (pp),40,3.3527028683947293,12.30890079567961,-20.772742691137307,27.478148427926765
County of school,High-access first exposure,STEM share zero-filled (pp),50,9.60668281363502,14.161780547985073,-18.150407060415723,37.36377268768576
County of school,High-access first exposure,STEM share zero-filled (pp),60,-7.139057049400865,12.050823275758418,-30.758670669887366,16.480556571085636
County of school,High-access first exposure,STEM share smoothed (pp),-60,-18.262435334109693,17.277938131119647,-52.1271940711042,15.602323402884817
County of school,High-access first exposure,STEM share smoothed (pp),-50,-15.93851739000539,12.381748174861372,-40.20674381273368,8.329709032722896
County of school,High-access first exposure,STEM share smoothed (pp),-40,-21.129646213336787,9.711228984722489,-40.16365502339286,-2.0956374032807084
County of school,High-access first exposure,STEM share smoothed (pp),-30,-11.973700601536663,10.250939198030741,-32.06554142967691,8.11814022660359
County of school,High-access first exposure,STEM share smoothed (pp),-20,-1.481566976910111,9.044697830371229,-19.209174724437716,16.246040770617498
County of school,High-access first exposure,STEM share smoothed (pp),0,0.7438356344827554,10.925435447015852,-20.67001784166831,22.157689110633825
County of school,High-access first exposure,STEM share smoothed (pp),10,-3.071617203010225,10.210586499641728,-23.08436674230801,16.941132336287563
