design,outcome,estimator,event_time,att,se,conf_low,conf_high
County of school,STEM births (count),Callaway-Sant'Anna DR,-60,-1.5782906439398072,1.0368275292384521,-3.6104726012471735,0.45389131336755906
County of school,STEM births (count),Callaway-Sant'Anna DR,-50,-1.0547999500243004,0.6923762124348367,-2.4118573263965803,0.3022574263479796
County of school,STEM births (count),Callaway-Sant'Anna DR,-40,-1.124333287009746,0.8249998530651528,-2.7413329990174455,0.4926664249979533
County of school,STEM births (count),Callaway-Sant'Anna DR,-30,-0.9091038247946683,0.8486585726898074,-2.5724746272666907,0.7542669776773541
County of school,STEM births (count),Callaway-Sant'Anna DR,-20,-0.40955276607520535,0.5783879155343021,-1.5431930805224376,0.7240875483720268
County of school,STEM births (count),Callaway-Sant'Anna DR,0,1.4714141051322502,1.1947928674233914,-0.870379915017597,3.8132081252820975
County of school,STEM births (count),Callaway-Sant'Anna DR,10,3.8507903303143003,3.600204959026957,-3.205611389378536,10.907192050007136
County of school,STEM births (count),Callaway-Sant'Anna DR,20,3.612281650230131,2.6865603049858673,-1.6533765475421691,8.87793984800243
County of school,STEM births (count),Callaway-Sant'Anna DR,30,5.4112058742536835,3.4449418318138965,-1.3408801161015536,12.16329186460892
County of school,STEM births (count),Callaway-Sant'Anna DR,40,3.8953306821284515,1.1419116878853746,1.6571837738731174,6.1334775903837855
County of school,STEM births (count),Callaway-Sant'Anna DR,50,3.0737382136804294,1.1847598154613737,0.7516089753761372,5.395867451984722
County of school,STEM births (count),Callaway-Sant'Anna DR,60,2.005585157288971,1.2427114148543712,-0.4301292158255965,4.441299530403539
County of school,STEM births (count),BJS imputation,-60,0.6773934607263432,0.5661360028812394,-0.43223310492088607,1.7870200263735725
County of school,STEM births (count),BJS imputation,-50,1.1179423274786522,0.744869412956534,-0.3420017219161544,2.577886376873459
County of school,STEM births (count),BJS imputation,-40,1.0127343394743655,0.6330903023938473,-0.2281226532175753,2.253591332166306
County of school,STEM births (count),BJS imputation,-30,1.1922904209527616,0.6182424932857379,-0.019464865887284688,2.404045707792808
County of school,STEM births (count),BJS imputation,-20,1.679959129579381,0.7828652166475469,0.14554330495018908,3.214374954208573
County of school,STEM births (count),BJS imputation,-10,2.092367414620559,1.1742886694703072,-0.20923837754124275,4.393973206782361
County of school,STEM births (count),BJS imputation,0,2.4802919541022703,1.1863491988981758,0.15504752426184565,4.8055363839426946
County of school,STEM births (count),BJS imputation,10,4.861220143596887,2.5461091536586635,-0.1291537975740935,9.851594084767868
County of school,STEM births (count),BJS imputation,20,4.623061492770299,2.0952953672804004,0.5162825729007139,8.729840412639884
