design,outcome,estimator,lead_m60,lead_m40,lead_m20,post_0,post_avg_0_60
50 km radius,Any STEM birth (pp),BJS imputation,3.164810611036261,4.323275483107775,7.138102794895603,5.059497511572098,8.463501405462246
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-4.995586763028867,-3.746956485397647,-0.30671215721769285,1.6439539453071477,5.026152508997639
50 km radius,Any STEM birth (pp),Wooldridge ETWFE,8.12833316848281,6.319594587497064,10.75459582771973,12.868755792198844,16.249886137051995
50 km radius,STEM births (count),BJS imputation,-0.005071260573415781,0.06383184672699092,0.2379670287948048,0.2065663613901544,0.7619617887472009
50 km radius,STEM births (count),Callaway-Sant'Anna DR,-0.3100329612234412,-0.20935209816962155,-0.03249007552698222,0.042896086781145065,0.5973491744417126
50 km radius,STEM births (count),Wooldridge ETWFE,0.1522565343250309,0.12204056028264261,0.3059253680724364,0.38734877615939084,0.9416738391242413
50 km radius,STEM share zero-filled (pp),BJS imputation,2.7429874344324245,3.4030080108294145,5.661823119445017,3.06594632132722,4.846006866782821
50 km radius,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-2.479516543966591,-1.7550648309316466,1.0969773379589087,1.4345432011268147,3.193130137024127
50 km radius,STEM share zero-filled (pp),Wooldridge ETWFE,5.525593664648869,4.391030286348865,7.937078881851073,8.373211647911821,10.144228074171279
County of school,Any STEM birth (pp),BJS imputation,8.112712990366674,17.067429247411038,24.810174135270746,24.234565653191353,29.39639189855837
County of school,Any STEM birth (pp),Callaway-Sant'Anna DR,-17.221764463781984,-8.488930050886893,-0.3327087447749982,13.519898717512838,18.661916572262772
County of school,Any STEM birth (pp),Wooldridge ETWFE,21.424114936716226,26.284425679133882,33.72963567176149,47.668080478730424,52.81131049504646
County of school,STEM births (count),BJS imputation,0.6773934607263432,1.0127343394743655,1.679959129579381,2.4802919541022703,4.34199433815578
County of school,STEM births (count),Callaway-Sant'Anna DR,-1.5782906439398072,-1.124333287009746,-0.40955276607520535,1.4714141051322502,3.331478001861174
County of school,STEM births (count),Wooldridge ETWFE,0.743762342230131,0.8453795221197433,1.4834714518776313,3.370375203917469,5.231356793292168
County of school,STEM share zero-filled (pp),BJS imputation,4.060811390369983,8.402523300605237,15.542704814116174,18.213617536987638,14.532334841241259
County of school,STEM share zero-filled (pp),Callaway-Sant'Anna DR,-8.044167776516545,-4.937014766435165,2.785499301799926,14.01710337151948,10.323309847009257
County of school,STEM share zero-filled (pp),Wooldridge ETWFE,12.500107382788741,14.758870993693321,21.671536114580192,32.950520551955904,29.259039673932026
