design,outcome,event_time,treated_mean,control_mean,raw_diff,treated_obs,mean_control_n
County of school,STEM births (count),-60,0.7894736842105263,0.0590144663761558,0.7304592178343705,57,3133
County of school,STEM births (count),-50,1.0615384615384615,0.06983077270645056,0.991707688832011,65,3129.7076923076925
County of school,STEM births (count),-40,0.9117647058823529,0.0822655964485536,0.8294991094337993,68,3125.205882352941
County of school,STEM births (count),-30,1.1095890410958904,0.09103102545941656,1.0185580156364737,73,3120.3424657534247
County of school,STEM births (count),-20,1.5733333333333333,0.10762258017678769,1.4657107531565456,75,3113.693333333333
County of school,STEM births (count),-10,2,0.12161517623664675,1.8783848237633531,75,3106.92
County of school,STEM births (count),0,3.493333333333333,0.13927621049147496,3.354057122841858,75,3098.08
County of school,STEM births (count),10,5.8933333333333335,0.1559683398315796,5.737364993501754,75,3091.306666666667
County of school,STEM births (count),20,5.68,0.17900497387341283,5.500995026126587,75,3084.133333333333
County of school,STEM births (count),30,7.493333333333333,0.1907263263348641,7.302607006998469,75,3078.4133333333334
County of school,STEM births (count),40,5.986666666666666,0.19820562075320247,5.788461045913464,75,3073.92
County of school,STEM births (count),50,5.16,0.1920906336121727,4.967909366387827,75,3070.32
County of school,STEM births (count),60,4.08,0.17970412314708856,3.9002958768529115,75,3068.0533333333333
County of school,Any STEM birth (pp),-60,24.56140350877193,3.5645820296802833,20.996821479091647,57,3133
County of school,Any STEM birth (pp),-50,24.615384615384617,4.242418277917957,20.37296633746666,65,3129.7076923076925
County of school,Any STEM birth (pp),-40,30.88235294117647,5.030523802513261,25.85182913866321,68,3125.205882352941
County of school,Any STEM birth (pp),-30,31.506849315068493,5.645238689780499,25.861610625287994,73,3120.3424657534247
County of school,Any STEM birth (pp),-20,40,6.671312822819819,33.32868717718018,75,3113.693333333333
County of school,Any STEM birth (pp),-10,41.333333333333336,7.596649651266244,33.736683682067095,75,3106.92
County of school,Any STEM birth (pp),0,56,8.649690981729517,47.35030901827048,75,3098.08
County of school,Any STEM birth (pp),10,50.666666666666664,9.508326088187847,41.158340578478814,75,3091.306666666667
County of school,Any STEM birth (pp),20,61.333333333333336,10.579104194426563,50.75422913890677,75,3084.133333333333
County of school,Any STEM birth (pp),30,68,11.050749885553438,56.94925011444656,75,3078.4133333333334
County of school,Any STEM birth (pp),40,66.66666666666667,11.11931331693164,55.54735334973503,75,3073.92
County of school,Any STEM birth (pp),50,77.33333333333333,10.642331970934734,66.6910013623986,75,3070.32
County of school,Any STEM birth (pp),60,60,9.907149168762697,50.0928508312373,75,3068.0533333333333
County of school,STEM share zero-filled (pp),-60,15.041279669762641,2.8096059624174985,12.231673707345143,57,3133
County of school,STEM share zero-filled (pp),-50,17.684921635741308,3.361450751719358,14.32347088402195,65,3129.7076923076925
County of school,STEM share zero-filled (pp),-40,18.567582770813242,4.082430299185262,14.48515247162798,68,3125.205882352941
County of school,STEM share zero-filled (pp),-30,22.579411146859485,4.574502889995255,18.00490825686423,73,3120.3424657534247
County of school,STEM share zero-filled (pp),-20,26.923106172978297,5.496833192761191,21.426272980217107,75,3113.693333333333
County of school,STEM share zero-filled (pp),-10,24.956729871435755,6.267835727082536,18.68889414435322,75,3106.92
County of school,STEM share zero-filled (pp),0,39.895806058993735,7.137799017973404,32.75800704102033,75,3098.08
County of school,STEM share zero-filled (pp),10,29.11735974183948,7.856127430780942,21.261232311058535,75,3091.306666666667
County of school,STEM share zero-filled (pp),20,39.50375616892471,8.60996648666393,30.89378968226078,75,3084.133333333333
County of school,STEM share zero-filled (pp),30,38.63083296720638,8.977789435307045,29.653043531899336,75,3078.4133333333334
County of school,STEM share zero-filled (pp),40,38.54611417852647,8.88125784637213,29.664856332154343,75,3073.92
County of school,STEM share zero-filled (pp),50,45.92714075868776,8.497319554673046,37.429821204014715,75,3070.32
County of school,STEM share zero-filled (pp),60,30.31738892737331,7.851009777794888,22.466379149578422,75,3068.0533333333333
50 km radius,STEM births (count),-60,0.17665615141955837,0.047529380958706575,0.1291267704608518,317,3078.930599369085
50 km radius,STEM births (count),-50,0.19047619047619047,0.0572220395226118,0.13325415095357868,378,3057.6349206349205
50 km radius,STEM births (count),-40,0.22193877551020408,0.06761378611849818,0.1543249893917059,392,3033.673469387755
50 km radius,STEM births (count),-30,0.22950819672131148,0.07288439270779432,0.15662380401351716,427,3005.414519906323
50 km radius,STEM births (count),-20,0.417607223476298,0.08076358444943733,0.33684363902686065,443,2963.6388261851016
50 km radius,STEM births (count),-10,0.46275395033860045,0.08707203907352358,0.3756819112650769,443,2928.907449209932
50 km radius,STEM births (count),0,0.5237020316027088,0.09892826878355998,0.4247737628191488,443,2866.092550790068
50 km radius,STEM births (count),10,0.6139954853273137,0.10970574464398707,0.5042897406833267,443,2831.3611738148984
50 km radius,STEM births (count),20,0.7945823927765236,0.12600544788877513,0.6685769448877485,443,2785.4830699774266
50 km radius,STEM births (count),30,1.0135440180586908,0.1337614129873659,0.8797826050713249,443,2751.5033860045146
50 km radius,STEM births (count),40,1.4085778781038374,0.1427624575900652,1.2658154205137722,443,2728.3611738148984
50 km radius,STEM births (count),50,1.8600451467268624,0.13977718213219598,1.7202679645946664,443,2704.6726862302485
50 km radius,STEM births (count),60,1.5756207674943568,0.13372184777592672,1.44189891971843,443,2692.3792325056434
50 km radius,Any STEM birth (pp),-60,10.094637223974763,2.9149512377035327,7.17968598627123,317,3078.930599369085
50 km radius,Any STEM birth (pp),-50,9.523809523809524,3.5026297191239175,6.021179804685606,378,3057.6349206349205
50 km radius,Any STEM birth (pp),-40,11.73469387755102,4.204829239441861,7.529864638109159,392,3033.673469387755
50 km radius,Any STEM birth (pp),-30,11.241217798594848,4.723397473981213,6.517820324613635,427,3005.414519906323
50 km radius,Any STEM birth (pp),-20,17.381489841986458,5.4728138013341345,11.908676040652324,443,2963.6388261851016
50 km radius,Any STEM birth (pp),-10,18.510158013544018,6.163452282470316,12.346705731073701,443,2928.907449209932
50 km radius,Any STEM birth (pp),0,21.44469525959368,7.208618271744758,14.236076987848922,443,2866.092550790068
50 km radius,Any STEM birth (pp),10,26.18510158013544,7.947277393954355,18.237824186181086,443,2831.3611738148984
50 km radius,Any STEM birth (pp),20,26.18510158013544,9.076207406883459,17.108894173251983,443,2785.4830699774266
50 km radius,Any STEM birth (pp),30,28.668171557562076,9.486299121304206,19.18187243625787,443,2751.5033860045146
50 km radius,Any STEM birth (pp),40,29.119638826185103,9.819180391958916,19.300458434226186,443,2728.3611738148984
50 km radius,Any STEM birth (pp),50,29.79683972911964,9.470772247356116,20.326067481763523,443,2704.6726862302485
50 km radius,Any STEM birth (pp),60,25.733634311512414,8.939027269335995,16.79460704217642,443,2692.3792325056434
50 km radius,STEM share zero-filled (pp),-60,7.202529331866871,2.3060931622442284,4.896436169622643,317,3078.930599369085
50 km radius,STEM share zero-filled (pp),-50,6.950581018041335,2.763880406351991,4.186700611689345,378,3057.6349206349205
50 km radius,STEM share zero-filled (pp),-40,8.69894386325959,3.4521863098250205,5.24675755343457,392,3033.673469387755
50 km radius,STEM share zero-filled (pp),-30,7.861312185082677,3.826268741351401,4.035043443731276,427,3005.414519906323
50 km radius,STEM share zero-filled (pp),-20,13.32210055985119,4.5635128279757735,8.758587731875416,443,2963.6388261851016
50 km radius,STEM share zero-filled (pp),-10,12.936314467417427,5.171626205367694,7.764688262049733,443,2928.907449209932
50 km radius,STEM share zero-filled (pp),0,15.417924948924307,6.067904830237909,9.350020118686398,443,2866.092550790068
50 km radius,STEM share zero-filled (pp),10,18.99960779664687,6.757563277445616,12.242044519201254,443,2831.3611738148984
50 km radius,STEM share zero-filled (pp),20,19.212919369264448,7.577235946877678,11.63568342238677,443,2785.4830699774266
50 km radius,STEM share zero-filled (pp),30,20.37676816024823,7.938055014288997,12.438713145959232,443,2751.5033860045146
50 km radius,STEM share zero-filled (pp),40,20.15913805914476,8.066634328669279,12.09250373047548,443,2728.3611738148984
50 km radius,STEM share zero-filled (pp),50,19.791853878923206,7.799677040612737,11.992176838310469,443,2704.6726862302485
50 km radius,STEM share zero-filled (pp),60,16.578822258092302,7.293677075403789,9.285145182688513,443,2692.3792325056434
