spec,outcome,event_time,att,se,conf_low,conf_high
Any nearby elite-school exposure,STEM share (pct points),-40,-2.9204502228783125,6.768664021298062,-16.187031704622516,10.34613125886589
Any nearby elite-school exposure,STEM share (pct points),-30,-8.921718589459452,4.2044795997528155,-17.16249860497497,-0.6809385739439335
Any nearby elite-school exposure,STEM share (pct points),-20,-2.7217954493289787,4.374209237022077,-11.29524555389225,5.8516546552342925
Any nearby elite-school exposure,STEM share (pct points),0,-3.664667388619375,4.228623737053689,-11.952769913244605,4.623435136005856
Any nearby elite-school exposure,STEM share (pct points),10,-3.7345122828232005,3.805940810463864,-11.194156271332375,3.7251317056859734
Any nearby elite-school exposure,STEM share (pct points),20,-1.6908746207677428,4.209354012346663,-9.9412084849672,6.559459243431715
Any nearby elite-school exposure,STEM share (pct points),30,-0.25021480065819013,4.188660793502486,-8.459989955923064,7.959560354606683
Any nearby elite-school exposure,STEM share (pct points),40,1.8795020933443423,3.347939268088773,-4.6824588721096525,8.441463058798337
Any nearby elite-school exposure,STEM births per 100k,-40,-2.649215713065206,2.73954630786786,-8.018726476486211,2.7202950503557997
Any nearby elite-school exposure,STEM births per 100k,-30,-3.207130876616192,3.470201557715732,-10.008725929739027,3.594464176506643
Any nearby elite-school exposure,STEM births per 100k,-20,-3.222161744635494,3.5613028018649433,-10.202315236290783,3.7579917470197945
Any nearby elite-school exposure,STEM births per 100k,0,-0.1958399578730013,0.36895721341843835,-0.9189960961731405,0.5273161804271378
Any nearby elite-school exposure,STEM births per 100k,10,-0.17682240289183315,0.4613612060018752,-1.0810903666555085,0.7274455608718422
Any nearby elite-school exposure,STEM births per 100k,20,-0.0360745532838326,0.3776745427048155,-0.776316656985271,0.7041675504176058
Any nearby elite-school exposure,STEM births per 100k,30,-0.0021402072220903694,0.407193836922312,-0.8002401275898219,0.7959597131456411
Any nearby elite-school exposure,STEM births per 100k,40,-0.3074166883373884,0.3483269811960949,-0.9901375714817344,0.3753041948069576
Any nearby elite-school exposure,Any STEM birth (pct points),-40,-12.589380555896227,7.737270677831365,-27.754431084445702,2.575669972653248
Any nearby elite-school exposure,Any STEM birth (pct points),-30,-13.9969205167264,4.800610497097398,-23.4061170910373,-4.587723942415501
Any nearby elite-school exposure,Any STEM birth (pct points),-20,-7.086030557465547,4.545256192150161,-15.994732694079861,1.8226715791487678
Any nearby elite-school exposure,Any STEM birth (pct points),0,-3.4985585107594943,4.179458763583843,-11.690297687383826,4.693180665864837
Any nearby elite-school exposure,Any STEM birth (pct points),10,-2.3141577587894844,4.833224157739164,-11.787277107958246,7.158961590379278
Any nearby elite-school exposure,Any STEM birth (pct points),20,3.5094453238855943,5.073058035817553,-6.43374842631681,13.452639074087998
Any nearby elite-school exposure,Any STEM birth (pct points),30,4.584592523734569,4.855214572564386,-4.931628038491628,14.100813085960766
Any nearby elite-school exposure,Any STEM birth (pct points),40,6.638397740142815,3.7571756347352774,-0.7256665039383288,14.00246198422396
High-access first nearby exposure,STEM share (pct points),-40,-10.161090112840565,12.456669970091935,-34.57616325422076,14.25398302853963
High-access first nearby exposure,STEM share (pct points),-30,15.60842064403064,12.577823157838656,-9.044112745333125,40.260954033394405
High-access first nearby exposure,STEM share (pct points),-20,8.061427798643312,7.900517524851625,-7.423586550065874,23.546442147352497
High-access first nearby exposure,STEM share (pct points),0,-1.386716709932283,0.9576487660199191,-3.2637082913313247,0.4902748714667584
High-access first nearby exposure,STEM share (pct points),10,3.5377531971537133,5.482150585174059,-7.207261949787443,14.282768344094869
High-access first nearby exposure,STEM share (pct points),20,2.8616331725942414,3.5512640264938233,-4.098844319333653,9.822110664522135
High-access first nearby exposure,STEM share (pct points),30,-5.391701687213067,7.891864937752681,-20.859756965208323,10.076353590782187
High-access first nearby exposure,STEM share (pct points),40,5.3890930701696185,4.023481568144788,-2.496930803394167,13.275116943733405
High-access first nearby exposure,STEM births per 100k,-40,-0.7406105519196339,0.9094183404997895,-2.5230704992992212,1.0418493954599537
