GEOID,n_nearby_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any,g_high,first_high_school,g_low,first_low_school,lat_county,lon_county,treated_in_first_panel_decade
01097,1,1892,St. Paul's School,low,1900,NA,NA,1900,St. Paul's School,30.7842951939351,-88.2084789345278,FALSE
04013,1,1928,Brophy College Preparatory,low,1930,NA,NA,1930,Brophy College Preparatory,33.3480249747642,-112.493431623511,FALSE
05085,1,1927,Little Rock Central High School,high,1930,1930,Little Rock Central High School,NA,NA,34.7536232571201,-91.8869200054116,FALSE
05119,1,1927,Little Rock Central High School,high,1930,1930,Little Rock Central High School,NA,NA,34.770510820706,-92.3131973700845,FALSE
05125,1,1927,Little Rock Central High School,high,1930,1930,Little Rock Central High School,NA,NA,34.6481145045675,-92.6750719183052,FALSE
06037,1,1922,The Webb School of California,low,1930,NA,NA,1930,The Webb School of California,34.3071649595637,-118.228514331765,FALSE
06075,1,1856,Lowell High School,high,1860,1860,Lowell High School,NA,NA,37.7521529164807,-122.438566149011,TRUE
06081,1,1856,Lowell High School,high,1860,1860,Lowell High School,NA,NA,37.4227120611752,-122.327478110051,TRUE
06083,1,1910,Cate School,low,1910,NA,NA,1910,Cate School,34.6528210404452,-120.018758142552,FALSE
06111,1,1889,The Thacher School,low,1890,NA,NA,1890,The Thacher School,34.4434699648728,-119.090848964433,FALSE
08001,1,1926,Kent Denver School,low,1930,NA,NA,1930,Kent Denver School,39.8749764008113,-104.336530463565,FALSE
08005,1,1926,Kent Denver School,low,1930,NA,NA,1930,Kent Denver School,39.6509304353405,-104.339043839125,FALSE
08019,1,1906,Colorado Academy,low,1910,NA,NA,1910,Colorado Academy,39.6880814244448,-105.645892379452,FALSE
08031,1,1906,Colorado Academy,low,1910,NA,NA,1910,Colorado Academy,39.7637257601641,-104.870621328184,FALSE
08041,1,1930,Fountain Valley School of Colorado,low,1930,NA,NA,1930,Fountain Valley School of Colorado,38.8326350203482,-104.525058352332,FALSE
08047,1,1906,Colorado Academy,low,1910,NA,NA,1910,Colorado Academy,39.8563738622444,-105.525106069715,FALSE
08059,1,1906,Colorado Academy,low,1910,NA,NA,1910,Colorado Academy,39.5857217189437,-105.251685440888,FALSE
09003,1,1914,Loomis Chaffee School,low,1920,NA,NA,1920,Loomis Chaffee School,41.8026750827276,-72.7310295530549,FALSE
09005,2,1890,The Taft School,low,1890,NA,NA,1890,The Taft School,41.7921609969691,-73.2444237177526,FALSE
09007,1,1896,Choate School / Choate Rosemary Hall,low,1900,NA,NA,1900,Choate School / Choate Rosemary Hall,41.4594082478677,-72.5370279898847,FALSE
09009,1,1896,Choate School / Choate Rosemary Hall,low,1900,NA,NA,1900,Choate School / Choate Rosemary Hall,41.4064322128234,-72.9343561823052,FALSE
09013,1,1914,Loomis Chaffee School,low,1920,NA,NA,1920,Loomis Chaffee School,41.8579395327132,-72.3356181361127,FALSE
09015,1,1889,Wheeler School,low,1890,NA,NA,1890,Wheeler School,41.8301036856601,-71.9879903870516,FALSE
10003,2,1919,Tower Hill School,low,1920,NA,NA,1920,Tower Hill School,39.5796416805537,-75.6406474340106,FALSE
11001,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.9041711856959,-77.0165437832175,TRUE
12086,1,1903,Ransom Everglades School,low,1910,NA,NA,1910,Ransom Everglades School,25.6110436200333,-80.5519536957601,FALSE
13047,1,1893,Baylor School,low,1900,NA,NA,1900,Baylor School,34.8987200189578,-85.1375949086996,FALSE
13063,2,1888,Westminster Schools,low,1890,NA,NA,1890,Westminster Schools,33.5418238072883,-84.3559782003896,FALSE
13067,2,1888,Westminster Schools,low,1890,NA,NA,1890,Westminster Schools,33.942392883735,-84.5761390044579,FALSE
13089,2,1888,Westminster Schools,low,1890,NA,NA,1890,Westminster Schools,33.7695182582889,-84.2238652981731,FALSE
13097,2,1888,Westminster Schools,low,1890,NA,NA,1890,Westminster Schools,33.703037282234,-84.770285814795,FALSE
13121,2,1888,Westminster Schools,low,1890,NA,NA,1890,Westminster Schools,33.7917716997751,-84.4638437203173,FALSE
13223,2,1888,Westminster Schools,low,1890,NA,NA,1890,Westminster Schools,33.9204039836397,-84.8685234669663,FALSE
15003,2,1841,Punahou School,low,1850,NA,NA,1850,Punahou School,21.4580098269447,-157.971140193898,TRUE
17031,4,1888,Latin School of Chicago,low,1890,1910,Lane Tech College Prep High School,1890,Latin School of Chicago,41.8409835312148,-87.8159048417931,FALSE
17043,4,1888,Latin School of Chicago,low,1890,1910,Lane Tech College Prep High School,1890,Latin School of Chicago,41.8511229318252,-88.0863513478037,FALSE
18019,2,1856,Louisville Male High School,high,1860,1860,Louisville Male High School,NA,NA,38.4801278425055,-85.7052030744014,TRUE
18043,2,1856,Louisville Male High School,high,1860,1860,Louisville Male High School,NA,NA,38.3210071400784,-85.9040696333222,TRUE
18049,1,1894,Culver Academies,low,1900,NA,NA,1900,Culver Academies,41.0470655731135,-86.2625558783199,FALSE
18057,1,1864,Shortridge High School,high,1870,1870,Shortridge High School,NA,NA,40.073023671542,-86.0526630446231,TRUE
18059,1,1864,Shortridge High School,high,1870,1870,Shortridge High School,NA,NA,39.8230754678226,-85.7756782839812,TRUE
18063,1,1864,Shortridge High School,high,1870,1870,Shortridge High School,NA,NA,39.7696395379989,-86.5118700936852,TRUE
18081,1,1864,Shortridge High School,high,1870,1870,Shortridge High School,NA,NA,39.4899139536688,-86.1014949572767,TRUE
18085,1,1894,Culver Academies,low,1900,NA,NA,1900,Culver Academies,41.2451471136636,-85.8631412020453,FALSE
18097,1,1864,Shortridge High School,high,1870,1870,Shortridge High School,NA,NA,39.7816403204273,-86.1382727101081,TRUE
18099,1,1894,Culver Academies,low,1900,NA,NA,1900,Culver Academies,41.3247263383669,-86.2618468976918,FALSE
18141,1,1894,Culver Academies,low,1900,NA,NA,1900,Culver Academies,41.6176059963471,-86.290430352666,FALSE
18149,1,1894,Culver Academies,low,1900,NA,NA,1900,Culver Academies,41.2789815542668,-86.646937671296,FALSE
19031,1,1890,Scattergood Friends School,low,1890,NA,NA,1890,Scattergood Friends School,41.7724238702405,-91.1325069602737,FALSE
19139,1,1890,Scattergood Friends School,low,1890,NA,NA,1890,Scattergood Friends School,41.4838315094493,-91.1122696245364,FALSE
20209,1,1910,Pembroke Hill School,low,1910,NA,NA,1910,Pembroke Hill School,39.1173065339703,-94.7637815967082,FALSE
21029,2,1856,Louisville Male High School,high,1860,1860,Louisville Male High School,NA,NA,37.9716010665859,-85.6896030494347,TRUE
