county_geoid,county_name,state_abbr,n_schools,first_open_year,first_school,first_open_access,first_high_year,first_low_year,first_open_decade,g_full_post_open,first_high_full_post,first_low_full_post,treated_in_first_panel_decade
01097,Mobile County,AL,1,1892,St. Paul's School,low,NA,1892,1890,1900,NA,1900,FALSE
04013,Maricopa County,AZ,1,1928,Brophy College Preparatory,low,NA,1928,1920,1930,NA,1930,FALSE
05119,Pulaski County,AR,1,1927,Little Rock Central High School,high,1927,NA,1920,1930,1930,NA,FALSE
06037,Los Angeles County,CA,1,1922,The Webb School of California,low,NA,1922,1920,1930,NA,1930,FALSE
06075,San Francisco County,CA,1,1856,Lowell High School,high,1856,NA,1850,1860,1860,NA,TRUE
06083,Santa Barbara County,CA,1,1910,Cate School,low,NA,1910,1910,1910,NA,1910,FALSE
06111,Ventura County,CA,1,1889,The Thacher School,low,NA,1889,1880,1890,NA,1890,FALSE
08005,Arapahoe County,CO,1,1926,Kent Denver School,low,NA,1926,1920,1930,NA,1930,FALSE
08041,El Paso County,CO,1,1930,Fountain Valley School of Colorado,low,NA,1930,1930,1930,NA,1930,FALSE
08059,Jefferson County,CO,1,1906,Colorado Academy,low,NA,1906,1900,1910,NA,1910,FALSE
09003,Hartford County,CT,1,1914,Loomis Chaffee School,low,NA,1914,1910,1920,NA,1920,FALSE
09005,Litchfield County,CT,2,1890,The Taft School,low,NA,1890,1890,1890,NA,1890,FALSE
09009,New Haven County,CT,1,1896,Choate School / Choate Rosemary Hall,low,NA,1896,1890,1900,NA,1900,FALSE
10003,New Castle County,DE,2,1919,Tower Hill School,low,NA,1919,1910,1920,NA,1920,FALSE
12086,Miami-Dade County,FL,1,1903,Ransom Everglades School,low,NA,1903,1900,1910,NA,1910,FALSE
13121,Fulton County,GA,2,1888,Westminster Schools,low,NA,1888,1880,1890,NA,1890,FALSE
15003,Honolulu County,HI,2,1841,Punahou School,low,NA,1841,1840,1850,NA,1850,TRUE
17031,Cook County,IL,4,1888,Latin School of Chicago,low,1908,1888,1880,1890,1910,1890,FALSE
18097,Marion County,IN,1,1864,Shortridge High School,high,1864,NA,1860,1870,1870,NA,TRUE
18099,Marshall County,IN,1,1894,Culver Academies,low,NA,1894,1890,1900,NA,1900,FALSE
19031,Cedar County,IA,1,1890,Scattergood Friends School,low,NA,1890,1890,1890,NA,1890,FALSE
21111,Jefferson County,KY,2,1856,Louisville Male High School,high,1856,NA,1850,1860,1860,NA,TRUE
22051,Jefferson Parish,LA,1,1929,Metairie Park Country Day School,low,NA,1929,1920,1930,NA,1930,FALSE
22071,Orleans Parish,LA,1,1903,Isidore Newman School,low,NA,1903,1900,1910,NA,1910,FALSE
23005,Cumberland County,ME,1,1898,Waynflete School,low,NA,1898,1890,1900,NA,1900,FALSE
23017,Oxford County,ME,1,1804,Hebron Academy,low,NA,1804,1800,1810,NA,1810,TRUE
24005,Baltimore County,MD,1,1873,McDonogh School,high,1873,NA,1870,1880,1880,NA,FALSE
24510,Baltimore city,MD,3,1839,Baltimore City College,high,1839,1897,1830,1840,1840,1900,TRUE
25017,Middlesex County,MA,3,1884,Groton School,low,NA,1884,1880,1890,NA,1890,FALSE
25021,Norfolk County,MA,1,1866,Noble and Greenough School,low,NA,1866,1860,1870,NA,1870,TRUE
26125,Oakland County,MI,2,1914,Detroit Country Day School,low,NA,1914,1910,1920,NA,1920,FALSE
26163,Wayne County,MI,1,1877,University of Detroit Jesuit High School and Academy,low,NA,1877,1870,1880,NA,1880,FALSE
27053,Hennepin County,MN,2,1886,Breck School,low,NA,1886,1880,1890,NA,1890,FALSE
27131,Rice County,MN,1,1858,Shattuck-St. Mary's School,low,NA,1858,1850,1860,NA,1860,TRUE
29095,Jackson County,MO,1,1910,Pembroke Hill School,low,NA,1910,1910,1910,NA,1910,FALSE
29189,St. Louis County,MO,2,1913,MICDS,low,NA,1913,1910,1920,NA,1920,FALSE
31055,Douglas County,NE,2,1859,Omaha Central High School,high,1859,1863,1850,1860,1860,1870,TRUE
33009,Grafton County,NH,1,1879,Holderness School,low,NA,1879,1870,1880,NA,1880,FALSE
33013,Merrimack County,NH,1,1856,St. Paul's School,low,NA,1856,1850,1860,NA,1860,TRUE
34021,Mercer County,NJ,2,1810,The Lawrenceville School,low,NA,1810,1810,1810,NA,1810,TRUE
34035,Somerset County,NJ,1,1861,The Pingry School,low,NA,1861,1860,1870,NA,1870,TRUE
34041,Warren County,NJ,1,1848,Blair Academy,low,NA,1848,1840,1850,NA,1850,TRUE
35005,Chaves County,NM,1,1891,New Mexico Military Institute,high,1891,NA,1890,1900,1900,NA,FALSE
36005,Bronx County,NY,2,1887,Horace Mann School,low,NA,1887,1880,1890,NA,1890,FALSE
36047,Kings County,NY,1,1922,Brooklyn Technical High School,high,1922,NA,1920,1930,1930,NA,FALSE
36061,New York County,NY,4,1884,The Brearley School,low,1904,1884,1880,1890,1910,1890,FALSE
37021,Buncombe County,NC,1,1900,Asheville School,low,NA,1900,1900,1900,NA,1900,FALSE
39035,Cuyahoga County,OH,2,1890,University School,low,NA,1890,1890,1890,NA,1890,FALSE
39049,Franklin County,OH,1,1911,Columbus Academy,low,NA,1911,1910,1920,NA,1920,FALSE
39153,Summit County,OH,1,1826,Western Reserve Academy,low,NA,1826,1820,1830,NA,1830,TRUE
40143,Tulsa County,OK,1,1922,Holland Hall,low,NA,1922,1920,1930,NA,1930,FALSE
41051,Multnomah County,OR,2,1869,Oregon Episcopal School,low,NA,1869,1860,1870,NA,1870,TRUE
42003,Allegheny County,PA,1,1883,Shady Side Academy,low,NA,1883,1880,1890,NA,1890,FALSE
42045,Delaware County,PA,1,1884,The Haverford School,low,NA,1884,1880,1890,NA,1890,FALSE
42055,Franklin County,PA,1,1893,Mercersburg Academy,low,NA,1893,1890,1900,NA,1900,FALSE
42091,Montgomery County,PA,1,1851,The Hill School,low,NA,1851,1850,1860,NA,1860,TRUE
42101,Philadelphia County,PA,1,1836,Central High School,high,1836,NA,1830,1840,1840,NA,TRUE
44005,Newport County,RI,1,1896,St. George's School,low,NA,1896,1890,1900,NA,1900,FALSE
44007,Providence County,RI,1,1889,Wheeler School,low,NA,1889,1880,1890,NA,1890,FALSE
45019,Charleston County,SC,1,1867,Porter-Gaud School,low,NA,1867,1860,1870,NA,1870,TRUE
47003,Bedford County,TN,1,1870,The Webb School,low,NA,1870,1870,1870,NA,1870,TRUE
47037,Davidson County,TN,1,1867,Montgomery Bell Academy,low,NA,1867,1860,1870,NA,1870,TRUE
47065,Hamilton County,TN,1,1893,Baylor School,low,NA,1893,1890,1900,NA,1900,FALSE
48029,Bexar County,TX,1,1893,TMI Episcopal,low,NA,1893,1890,1900,NA,1900,FALSE
48113,Dallas County,TX,1,1913,The Hockaday School,low,NA,1913,1910,1920,NA,1920,FALSE
48201,Harris County,TX,1,1906,The Kinkaid School,low,NA,1906,1900,1910,NA,1910,FALSE
49035,Salt Lake County,UT,1,1867,Rowland Hall,low,NA,1867,1860,1870,NA,1870,TRUE
50003,Bennington County,VT,1,1829,Burr and Burton Academy,high,1829,NA,1820,1830,1830,NA,TRUE
50005,Caledonia County,VT,1,1842,St. Johnsbury Academy,high,1842,NA,1840,1850,1850,NA,TRUE
51059,Fairfax County,VA,1,1906,The Madeira School,low,NA,1906,1900,1910,NA,1910,FALSE
51113,Madison County,VA,1,1889,Woodberry Forest School,low,NA,1889,1880,1890,NA,1890,FALSE
51510,Alexandria city,VA,1,1839,Episcopal High School,low,NA,1839,1830,1840,NA,1840,TRUE
51760,Richmond city,VA,1,1911,St. Christopher's School,low,NA,1911,1910,1920,NA,1920,FALSE
53033,King County,WA,1,1919,Lakeside School,low,NA,1919,1910,1920,NA,1920,FALSE
53053,Pierce County,WA,1,1884,Annie Wright Schools,low,NA,1884,1880,1890,NA,1890,FALSE
54069,Ohio County,WV,1,1814,Linsly School,low,NA,1814,1810,1820,NA,1820,TRUE
55027,Dodge County,WI,1,1855,Wayland Academy,low,NA,1855,1850,1860,NA,1860,TRUE
55079,Milwaukee County,WI,2,1851,University School of Milwaukee,low,NA,1851,1850,1860,NA,1860,TRUE
