decade,n,total_nhgis,total_hyde,total_ratio_hyde_over_nhgis,pearson,spearman,ratio_mean,ratio_median,ratio_p10,ratio_p90,median_abs_log_ratio,mean_abs_log_ratio
1800,382,4947207,3408489.9058825076,0.6889725669215999,0.6443871042248104,0.6561267868322995,0.9147263954150446,0.5803836414151344,0.21452197745671658,1.5640583673301107,0.662773782450575,0.7901335397425766
1810,496,6632953,4836465.4181134105,0.7291571971207108,0.6257745438772153,0.6472249227967978,1.5709363264089382,0.6178664649446944,0.2547126276994321,1.6237491782046625,0.6343417721605076,0.7316503447556946
1820,701,9306745,7019490.868171036,0.7542369397862557,0.6345909015608275,0.7004929544523943,1.0783749062311445,0.6386887240132242,0.21888896722709186,1.7623671181158287,0.6239590869343326,0.7636775722047682
1830,905,12501153,10075687.958419502,0.8059806930144365,0.6462336101195347,0.7246390064774221,1.333428695129421,0.7037363066623386,0.2533173651301287,1.8979116687535558,0.5664275217479943,0.7141643136331858
1840,1175,16572160,14374306.096057236,0.8673767388232576,0.6258706582207888,0.6952562694097272,1.1154632731039504,0.7892085274899532,0.32469191379619733,2.0483210246604524,0.4979438319323438,0.610360887028754
1850,1527,22617747,20263457.142449,0.8959096209913834,0.611340243716075,0.7488146192945032,1.4278084189008173,0.8328916236944149,0.31624314719084673,2.10814727742538,0.4855460580254224,0.6339174153701294
1860,1870,30507098,28496855.78993179,0.9341057543372951,0.5701476663628069,0.7339721374682256,3.7521391620653612,0.8860728468121206,0.35326259092898615,2.721551795349408,0.4765702107941476,0.6730762593805859
1870,2131,38076799,36070060.71948416,0.947297610796647,0.6150513089557648,0.746037534653102,4.153779107911957,0.8947913127229148,0.37527715808672635,2.6194378650549686,0.4810584344348205,0.6642451683067001
1880,2375,49192857,47398018.291914284,0.9635142413443132,0.5945288712948655,0.7557100161011353,5.413666273596253,0.8631048624332932,0.37907406182210945,2.394080086322732,0.4714751084678268,0.659718867086805
1890,2669,61938151,60139012.82458284,0.9709526657420373,0.6404231293945973,0.7916920369553394,2.4603611985894553,0.8726974971908941,0.3972598310462319,2.2016231429224393,0.4394290609411386,0.5855891372318093
all,14231,252292870,232081845.01500577,0.9198906216216327,0.6210447978891597,0.7555061054780664,2.9424918439825167,0.8296661872184595,0.33190682578283554,2.25069097550432,0.49096685530424783,0.6559961335091823
