GEOID,decade,state_nhgis,county_nhgis,name_nhgis,population_nhgis,hyde_population,ratio_hyde_over_nhgis,log_ratio,abs_log_ratio,pct_difference_hyde_vs_nhgis
09001,1800,Connecticut,Fairfield County,Fairfield,38208,41991.05114746094,1.0990120170503805,0.09441160989344119,0.09441160989344119,9.901201705038055
09003,1800,Connecticut,Hartford County,Hartford,42147,53333.87030029297,1.2654250670342604,0.2354080871079031,0.2354080871079031,26.54250670342604
09005,1800,Connecticut,Litchfield County,Litchfield,41214,29609.309844970703,0.7184284428827753,-0.3306891707918434,0.3306891707918434,-28.15715571172247
09007,1800,Connecticut,Middlesex County,Middlesex,19847,25646.748657226563,1.2922229383396262,0.2563639433693193,0.2563639433693193,29.22229383396262
09009,1800,Connecticut,New Haven County,New Haven,32162,42921.75616455078,1.3345487272107077,0.28859320265459604,0.28859320265459604,33.45487272107077
09011,1800,Connecticut,New London County,New London,34883,30110.046142578125,0.8631724949854693,-0.14714072955715332,0.14714072955715332,-13.682750501453068
09013,1800,Connecticut,Tolland County,Tolland,14319,15363.20867919922,1.072924693009234,0.07038827759679338,0.07038827759679338,7.292469300923399
09015,1800,Connecticut,Windham County,Windham,28222,15597.342346191406,0.5526660883775567,-0.5930012783170315,0.5930012783170315,-44.73339116224433
10001,1800,Delaware,Kent County,Kent,19554,15305.555263519287,0.782732702440385,-0.2449640174670847,0.2449640174670847,-21.726729755961504
10003,1800,Delaware,New Castle County,New Castle,25361,22083.64585494995,0.8707718881333525,-0.1383752329479071,0.1383752329479071,-12.92281118666475
10005,1800,Delaware,Sussex County,Sussex,19358,25624.554000854492,1.3237190825939917,0.2804452617355066,0.2804452617355066,32.37190825939918
13029,1800,Georgia,Bryan County,Bryan,2836,739.1560287475586,0.2606332964554156,-1.34464085401327,1.34464085401327,-73.93667035445843
13031,1800,Georgia,Bulloch County,Bulloch,1913,1271.0631885528564,0.6644344948002386,-0.4088189838667079,0.4088189838667079,-33.556550519976135
13033,1800,Georgia,Burke County,Burke,9504,1230.999358177185,0.12952434324254894,-2.0438864368013863,2.0438864368013863,-87.0475656757451
13039,1800,Georgia,Camden County,Camden,1681,829.6875607967377,0.4935678529427351,-0.7060949362615893,0.7060949362615893,-50.64321470572649
13051,1800,Georgia,Chatham County,Chatham,12946,2168.3177032470703,0.1674893946583555,-1.7868352451940295,1.7868352451940295,-83.25106053416445
13073,1800,Georgia,Columbia County,Columbia,8345,2811.3422317504883,0.33688942261839283,-1.0880005252679246,1.0880005252679246,-66.31105773816071
13103,1800,Georgia,Effingham County,Effingham,2072,1172.2701263427734,0.5657674354936165,-0.5695721765719719,0.5695721765719719,-43.42325645063835
13105,1800,Georgia,Elbert County,Elbert,10094,1001.876205444336,0.09925462705016208,-2.310066740348756,2.310066740348756,-90.0745372949838
13119,1800,Georgia,Franklin County,Franklin,6859,996.019302368164,0.14521348627615746,-1.9295503002147958,1.9295503002147958,-85.47865137238425
13127,1800,Georgia,Glynn County,Glynn,1874,1042.163863658905,0.5561173231904509,-0.5867759940591865,0.5867759940591865,-44.388267680954904
13133,1800,Georgia,Greene County,Greene,10761,957.4493446350098,0.08897401213967195,-2.419410950320492,2.419410950320492,-91.1025987860328
13141,1800,Georgia,Hancock County,Hancock,14456,781.3425159454346,0.05404970364868806,-2.9178512178224403,2.9178512178224403,-94.59502963513118
13157,1800,Georgia,Jackson County,Jackson,7736,1952.0632400512695,0.25233495864158084,-1.3769978731176336,1.3769978731176336,-74.76650413584191
13163,1800,Georgia,Jefferson County,Jefferson,5684,629.3570175170898,0.11072431694530081,-2.200711798121225,2.200711798121225,-88.92756830546992
13179,1800,Georgia,Liberty County,Liberty,5313,827.5448393821716,0.1557584866143745,-1.8594486341032062,1.8594486341032062,-84.42415133856255
13181,1800,Georgia,Lincoln County,Lincoln,4766,607.4902000427246,0.12746332355071854,-2.059926614191014,2.059926614191014,-87.25366764492814
13191,1800,Georgia,McIntosh County,Mcintosh,2660,587.1016447544098,0.2207149040430112,-1.5108834372201576,1.5108834372201576,-77.92850959569888
13209,1800,Georgia,Montgomery County,Montgomery,3180,489.3742027282715,0.15389125871958223,-1.8715090381936565,1.8715090381936565,-84.61087412804179
13221,1800,Georgia,Oglethorpe County,Oglethorpe,9780,946.1274642944336,0.09674104951885824,-2.335717462784682,2.335717462784682,-90.32589504811418
13245,1800,Georgia,Richmond County,Richmond,5475,2285.707836151123,0.4174808833152736,-0.8735165242059613,0.8735165242059613,-58.25191166847263
13251,1800,Georgia,Screven County,Screven,3019,954.9627027511596,0.3163175563932294,-1.1510086446995913,1.1510086446995913,-68.36824436067705
13301,1800,Georgia,Warren County,Warren,8329,406.2560396194458,0.04877608832026003,-3.0205150796463434,3.0205150796463434,-95.122391167974
13303,1800,Georgia,Washington County,Washington,10300,1000.1179571151732,0.0970988307878809,-2.3320259450768104,2.3320259450768104,-90.29011692121192
13317,1800,Georgia,Wilkes County,Wilkes,13103,808.9037246704102,0.061734238317210574,-2.784916585979572,2.784916585979572,-93.82657616827895
21009,1800,Kentucky,Barren County,Barren,4784,2551.970413208008,0.533438631523413,-0.6284112448035231,0.6284112448035231,-46.6561368476587
21015,1800,Kentucky,Boone County,Boone,1534,3674.525825500488,2.3953884129729386,0.8735453943203293,0.8735453943203293,139.53884129729386
21017,1800,Kentucky,Bourbon County,Bourbon,12825,1466.2575912475586,0.11432807729025798,-2.168683092763249,2.168683092763249,-88.5671922709742
21023,1800,Kentucky,Bracken County,Bracken,2606,777.8891525268555,0.29849929106939965,-1.2089877211291862,1.2089877211291862,-70.15007089306003
21027,1800,Kentucky,Breckinridge County,Breckinridge,807,2310.1419944763184,2.8626294851007663,1.0517406028269876,1.0517406028269876,186.26294851007663
21029,1800,Kentucky,Bullitt County,Bullitt,3542,2502.625762939453,0.7065572453245209,-0.34735105349527906,0.34735105349527906,-29.34427546754791
21037,1800,Kentucky,Campbell County,Campbell,1903,1484.7353477478027,0.7802077497361023,-0.24819504894673364,0.24819504894673364,-21.97922502638977
21047,1800,Kentucky,Christian County,Christian,2318,2826.5070190429688,1.219373174738123,0.1983369355109797,0.1983369355109797,21.93731747381229
21049,1800,Kentucky,Clark County,Clark,7653,2468.5160064697266,0.3225553386214199,-1.1314805648420825,1.1314805648420825,-67.74446613785801
21057,1800,Kentucky,Cumberland County,Cumberland,3284,1124.01416015625,0.34226984170409563,-1.0721558421942554,1.0721558421942554,-65.77301582959043
21067,1800,Kentucky,Fayette County,Fayette,14028,4617.2871170043945,0.32914792678959187,-1.1112480037677421,1.1112480037677421,-67.08520732104081
21069,1800,Kentucky,Fleming County,Fleming,5016,1740.3345527648926,0.34695664927529757,-1.0585554368820558,1.0585554368820558,-65.30433507247024
21071,1800,Kentucky,Floyd County,Floyd,478,2541.742141723633,5.317452179338144,1.670994274979536,1.670994274979536,431.7452179338144
21073,1800,Kentucky,Franklin County,Franklin,5078,2526.577667236328,0.49755369579289643,-0.6980517969656441,0.6980517969656441,-50.24463042071036
21077,1800,Kentucky,Gallatin County,Gallatin,1291,749.1133728027344,0.5802582283522342,-0.5442820532263105,0.5442820532263105,-41.974177164776584
21079,1800,Kentucky,Garrard County,Garrard,6186,1873.0869064331057,0.3027945209235541,-1.1947008522868012,1.1947008522868012,-69.72054790764459
21087,1800,Kentucky,Green County,Green,6096,1168.2424926757813,0.191640828851014,-1.6521323419347507,1.6521323419347507,-80.8359171148986
21093,1800,Kentucky,Hardin County,Hardin,3653,3934.5537452697754,1.0770746633642965,0.07424872108640142,0.07424872108640142,7.707466336429647
21097,1800,Kentucky,Harrison County,Harrison,4350,1638.8339233398438,0.37674343065283766,-0.9761908785145169,0.9761908785145169,-62.325656934716235
21101,1800,Kentucky,Henderson County,Henderson,1468,2269.890084505081,1.5462466515702187,0.43583047920578494,0.43583047920578494,54.624665157021866
21103,1800,Kentucky,Henry County,Henry,3258,2008.682228088379,0.6165384371050887,-0.483634611029946,0.483634611029946,-38.34615628949113
21111,1800,Kentucky,Jefferson County,Jefferson,8754,8100.586334228516,0.925358274414955,-0.07757429276832666,0.07757429276832666,-7.464172558504501
21113,1800,Kentucky,Jessamine County,Jessamine,5461,2814.425262451172,0.5153681125162373,-0.6628738520681662,0.6628738520681662,-48.463188748376275
21121,1800,Kentucky,Knox County,Knox,1109,2763.963836669922,2.492302828376846,0.9132071137576512,0.9132071137576512,149.23028283768457
21137,1800,Kentucky,Lincoln County,Lincoln,8621,1739.3756942749023,0.20176031716447074,-1.6006748347779114,1.6006748347779114,-79.82396828355293
21139,1800,Kentucky,Livingston County,Livingston,2856,1271.7623023986816,0.4452949238090622,-0.8090184662050552,0.8090184662050552,-55.47050761909378
21141,1800,Kentucky,Logan County,Logan,5807,2069.31632232666,0.35634860036622357,-1.0318458127360255,1.0318458127360255,-64.36513996337764
21151,1800,Kentucky,Madison County,Madison,10490,4326.357582092285,0.41242684290679554,-0.8856964394648466,0.8856964394648466,-58.757315709320444
21161,1800,Kentucky,Mason County,Mason,12182,1243.6582260131836,0.10208982318282578,-2.281902233776209,2.281902233776209,-89.79101768171742
21167,1800,Kentucky,Mercer County,Mercer,9646,1808.4822463989256,0.187485200746312,-1.6740553660397595,1.6740553660397595,-81.2514799253688
21173,1800,Kentucky,Montgomery County,Montgomery,7082,1503.9825973510742,0.2123669298716569,-1.5494396991391974,1.5494396991391974,-78.76330701283432
21177,1800,Kentucky,Muhlenberg County,Muhlenberg,1443,1958.6918869018557,1.357374834997821,0.30555256599516023,0.30555256599516023,35.737483499782094
21179,1800,Kentucky,Nelson County,Nelson,9866,2446.207344055176,0.2479431729226815,-1.3945557005148663,1.3945557005148663,-75.20568270773185
21181,1800,Kentucky,Nicholas County,Nicholas,2925,811.8753356933594,0.277564217331063,-1.2817029587620599,1.2817029587620599,-72.24357826689369
21183,1800,Kentucky,Ohio County,Ohio,1223,2022.67391204834,1.6538625609553066,0.503113498200499,0.503113498200499,65.38625609553065
21191,1800,Kentucky,Pendleton County,Pendleton,1613,1642.9886093139648,1.0185918222653223,0.01842110702981922,0.01842110702981922,1.85918222653223
21199,1800,Kentucky,Pulaski County,Pulaski,3161,4131.510478973389,1.307026409039351,0.26775464028290064,0.26775464028290064,30.70264090393511
21209,1800,Kentucky,Scott County,Scott,8007,2253.5570526123047,0.2814483642578125,-1.2678062789283489,1.2678062789283489,-71.85516357421875
21211,1800,Kentucky,Shelby County,Shelby,8191,2427.26708984375,0.29633342569207055,-1.2162700204646115,1.2162700204646115,-70.36665743079294
21227,1800,Kentucky,Warren County,Warren,4686,3352.536201477051,0.7154366627138392,-0.33486220561762137,0.33486220561762137,-28.45633372861608
21229,1800,Kentucky,Washington County,Washington,9050,1274.7671585083008,0.14085824955892826,-1.9600012165564533,1.9600012165564533,-85.91417504410718
21239,1800,Kentucky,Woodford County,Woodford,6624,1672.8553314208984,0.25254458505750277,-1.3761674713690026,1.3761674713690026,-74.74554149424972
24001,1800,Maryland,Allegany County,Allegany,6303,11986.49137878418,1.9017121019806726,0.6427545867254575,0.6427545867254575,90.17121019806726
24003,1800,Maryland,Anne Arundel County,Anne Arundel,22623,20339.099371910095,0.8990451917035802,-0.10642197691568851,0.10642197691568851,-10.095480829641978
24005,1800,Maryland,Baltimore County,Baltimore,32516,32315.84960412979,0.993844556653026,-0.006174466191240923,0.006174466191240923,-0.6155443346974043
24009,1800,Maryland,Calvert County,Calvert,8297,6894.035341262817,0.8309069954517075,-0.18523740922074536,0.18523740922074536,-16.909300454829246
24011,1800,Maryland,Caroline County,Caroline,9226,6455.849426269531,0.699745222877686,-0.3570389775085041,0.3570389775085041,-30.025477712231396
