rank_panel,rank_within_decade,GEOID,decade,state_nhgis,county_nhgis,name_nhgis,population_nhgis,hyde_population,ratio_hyde_over_nhgis,pct_difference_hyde_vs_nhgis,log_ratio,abs_log_ratio
1,1,20009,1870,Kansas,Barton County,Barton,2,5125.750170707703,2562.8750853538513,256187.50853538513,7.848884987507157,7.848884987507157
2,1,48381,1880,Texas,Randall County,Randall,3,7648.397082567215,2549.4656941890717,254846.56941890717,7.84363908450708,7.84363908450708
3,2,20175,1880,Kansas,Seward County,Seward,5,5944.749975204468,1188.9499950408936,118794.99950408936,7.08082583949091,7.08082583949091
4,1,19167,1860,Iowa,Sioux County,Sioux,10,11505.264381408691,1150.5264381408692,114952.64381408693,7.047974888907931,7.047974888907931
5,3,27007,1880,Minnesota,Beltrami County,Beltrami,10,7803.977651178837,780.3977651178836,77939.77651178837,6.65980374497997,6.65980374497997
6,1,48279,1890,Texas,Lamb County,Lamb,4,2971.597382068634,742.8993455171585,74189.93455171585,6.610560565173604,6.610560565173604
7,2,27001,1860,Minnesota,Aitkin County,Aitkin,2,1405.187454342842,702.593727171421,70159.3727171421,6.554778811769414,6.554778811769414
8,2,48303,1890,Texas,Lubbock County,Lubbock,33,21154.359424591064,641.0411946845777,64004.11946845777,6.463093721134274,6.463093721134274
9,4,48303,1880,Texas,Lubbock County,Lubbock,25,14721.617568969728,588.8647027587891,58786.47027587891,6.378196450573604,6.378196450573604
10,2,20159,1870,Kansas,Rice County,Rice,5,2726.670301437378,545.3340602874756,54433.40602874756,6.301398561539187,6.301398561539187
11,3,20135,1870,Kansas,Ness County,Ness,2,1068.723307847977,534.3616539239885,53336.16539239885,6.281072864266137,6.281072864266137
12,3,55013,1860,Wisconsin,Burnett County,Burnett,12,6365.267282485962,530.4389402071635,52943.89402071635,6.273704852856953,6.273704852856953
13,4,19141,1860,Iowa,O'Brien County,O Brien,8,4119.448837280273,514.9311046600342,51393.11046600342,6.24403311435559,6.24403311435559
14,4,26129,1870,Michigan,Ogemaw County,Ogemaw,12,5801.952415466309,483.4960346221924,48249.60346221924,6.18104311345784,6.18104311345784
15,5,27159,1870,Minnesota,Wadena County,Wadena,6,2739.4770345687866,456.5795057614644,45557.95057614644,6.123762848641281,6.123762848641281
16,5,48153,1880,Texas,Floyd County,Floyd,3,1342.4246468544006,447.47488228480023,44647.488228480026,6.1036204071671065,6.1036204071671065
17,6,20067,1880,Kansas,Grant County,Grant,9,4022.1890144348145,446.90989049275714,44590.98904927571,6.1023569870275995,6.1023569870275995
18,7,48165,1880,Texas,Gaines County,Gaines,8,3241.2390384674072,405.1548798084259,40415.48798084259,6.004269413282987,6.004269413282987
19,8,48375,1880,Texas,Potter County,Potter,28,11113.561605930328,396.91291449751174,39591.291449751174,5.983716897676164,5.983716897676164
20,9,20071,1880,Kansas,Greeley County,Greeley,3,1187.5983591079712,395.86611970265704,39486.6119702657,5.981076072533079,5.981076072533079
21,3,48369,1890,Texas,Parmer County,Parmer,7,2715.109275817871,387.8727536882673,38687.27536882673,5.960677331422783,5.960677331422783
22,10,20187,1880,Kansas,Stanton County,Stanton,5,1923.2169523239136,384.6433904647827,38364.33904647827,5.952316646512237,5.952316646512237
23,11,48437,1880,Texas,Swisher County,Swisher,4,1322.5782651901245,330.6445662975311,32964.45662975311,5.801043980589395,5.801043980589395
24,5,26051,1860,Michigan,Gladwin County,Gladwin,14,4098.262189388275,292.73301352773393,29173.301352773393,5.679260976977929,5.679260976977929
25,6,20191,1870,Kansas,Sumner County,Sumner,22,5967.106943130493,271.2321337786588,27023.21337786588,5.6029750364316,5.6029750364316
26,12,20181,1880,Kansas,Sherman County,Sherman,13,3486.5261878967285,268.1943221459022,26719.432214590222,5.591711800399407,5.591711800399407
27,4,48341,1890,Texas,Moore County,Moore,15,3979.811168909073,265.3207445939382,26432.074459393818,5.580939451053004,5.580939451053004
28,13,20189,1880,Kansas,Stevens County,Stevens,12,2953.7787046432495,246.14822538693747,24514.82253869375,5.505933896700006,5.505933896700006
29,1,42105,1810,Pennsylvania,Potter County,Potter,29,6607.773414611816,227.85425567626953,22685.425567626953,5.4287061950701165,5.4287061950701165
30,5,48069,1890,Texas,Castro County,Castro,9,1881.0595409870148,209.00661566522388,20800.661566522387,5.34236590536443,5.34236590536443
31,1,19171,1850,Iowa,Tama County,Tama,8,1651.0629997253418,206.38287496566772,20538.287496566772,5.329733060037618,5.329733060037618
32,6,26133,1860,Michigan,Osceola County,Osceola,27,4778.337593078613,176.975466410319,17597.5466410319,5.176011115115568,5.176011115115568
