rank_panel,rank_within_decade,GEOID,decade,state_nhgis,county_nhgis,name_nhgis,population_nhgis,hyde_population,ratio_hyde_over_nhgis,pct_difference_hyde_vs_nhgis,log_ratio,abs_log_ratio
1,1,12087,1890,Florida,Monroe County,Monroe,18786,217.40386646986008,0.011572653383895458,-98.84273466161045,-4.459110430975549,4.459110430975549
2,1,12087,1880,Florida,Monroe County,Monroe,10940,155.47262865304947,0.01421139201581805,-98.5788607984182,-4.253711381374088,4.253711381374088
3,1,06075,1870,California,San Francisco County,San Francisco,149473,2404.9822006225586,0.016089743302285756,-98.39102566977142,-4.12957327197175,4.12957327197175
4,2,06075,1880,California,San Francisco County,San Francisco,233959,3970.442092895508,0.016970674745983304,-98.30293252540166,-4.0762684394196,4.0762684394196
5,3,32029,1880,Nevada,Storey County,Storey,16115,292.83802795410156,0.018171767170592712,-98.18282328294072,-4.007886143703232,4.007886143703232
6,2,32029,1870,Nevada,Storey County,Storey,11359,215.56000185012817,0.018977022788108828,-98.10229772118912,-3.964526358583234,3.964526358583234
7,2,06075,1890,California,San Francisco County,San Francisco,298997,5945.7156982421875,0.01988553630384983,-98.01144636961502,-3.9177626304146216,3.9177626304146216
8,3,12087,1870,Florida,Monroe County,Monroe,5657,112.88682055473328,0.019955244927476273,-98.00447550725238,-3.914263266566473,3.914263266566473
9,1,12087,1850,Florida,Monroe County,Monroe,2645,56.33737623691559,0.02129957513683009,-97.87004248631699,-3.8490681530933895,3.8490681530933895
10,3,32029,1890,Nevada,Storey County,Storey,8806,203.5832518339157,0.023118697687249116,-97.68813023127508,-3.7671135651706447,3.7671135651706447
11,1,06091,1860,California,Sierra County,Sierra,11387,264.5822967886925,0.02323546999110323,-97.67645300088968,-3.7620752889285236,3.7620752889285236
12,2,06075,1860,California,San Francisco County,San Francisco,56802,1524.3613548278809,0.026836402852503095,-97.3163597147497,-3.617995997749248,3.617995997749248
13,4,08065,1880,Colorado,Lake County,Lake,23563,652.607923746109,0.02769630029054488,-97.2303699709455,-3.5864564382274806,3.5864564382274806
14,2,06009,1850,California,Calaveras County,Calaveras,16884,493.4973873496056,0.0292287009801946,-97.07712990198054,-3.532604142167273,3.532604142167273
15,3,12087,1860,Florida,Monroe County,Monroe,2913,87.30567789077759,0.02997105317225458,-97.00289468277454,-3.5075232573882897,3.5075232573882897
16,1,17047,1820,Illinois,Edwards County,Edwards,3444,130.78476190567017,0.037974669542877516,-96.20253304571224,-3.2708359325032053,3.2708359325032053
17,3,12065,1850,Florida,Jefferson County,Jefferson,7718,335.0015152692795,0.04340522353838812,-95.65947764616118,-3.137175487090848,3.137175487090848
18,2,17193,1820,Illinois,White County,White,4828,214.8645749092102,0.04450384732999383,-95.54961526700062,-3.1121796366933268,3.1121796366933268
19,4,12065,1870,Florida,Jefferson County,Jefferson,13398,600.0611109137535,0.044787364600220446,-95.52126353997795,-3.105829219515658,3.105829219515658
20,4,06017,1850,California,El Dorado County,El Dorado,20057,909.7721597850324,0.04535933388767176,-95.46406661123282,-3.093139304686521,3.093139304686521
21,3,28157,1820,Mississippi,Wilkinson County,Wilkinson,9718,441.74910402297974,0.04545679193486105,-95.45432080651389,-3.0909930320126273,3.0909930320126273
22,5,06115,1850,California,Yuba County,Yuba,9673,455.7784507274628,0.047118624080167766,-95.28813759198323,-3.055086940401142,3.055086940401142
23,4,17059,1820,Illinois,Gallatin County,Gallatin,3155,150.44003772735596,0.04768305474718097,-95.23169452528191,-3.0431791905931243,3.0431791905931243
24,5,12065,1880,Florida,Jefferson County,Jefferson,16065,779.9715358614922,0.048550982624431506,-95.14490173755685,-3.0251408450174546,3.0251408450174546
25,1,13301,1800,Georgia,Warren County,Warren,8329,406.2560396194458,0.04877608832026003,-95.122391167974,-3.0205150796463434,3.0205150796463434
26,1,51115,1840,Virginia,Mathews County,Matthews,7442,365.99114990234375,0.04917913865927758,-95.08208613407224,-3.012285756392246,3.012285756392246
27,1,51115,1830,Virginia,Mathews County,Matthews,7664,380.6921997070313,0.04967278179893415,-95.03272182010659,-3.002298145815387,3.002298145815387
28,4,12065,1860,Florida,Jefferson County,Jefferson,9876,491.1885110139847,0.04973557219663676,-95.02644278033632,-3.0010348635351893,3.0010348635351893
29,5,51115,1820,Virginia,Mathews County,Matthews,6920,348.2415771484375,0.05032392733358924,-94.96760726664107,-2.9892746224655764,2.9892746224655764
30,6,08027,1880,Colorado,Custer County,Custer,8080,415.2074110507965,0.05138705582311838,-94.86129441768816,-2.9683689704711305,2.9683689704711305
31,2,51115,1800,Virginia,Mathews County,Matthews,5806,308.1740417480469,0.053078546632457264,-94.69214533675428,-2.9359824505927388,2.9359824505927388
32,2,17059,1830,Illinois,Gallatin County,Gallatin,7405,394.3266124725342,0.053251399388593405,-94.67486006114066,-2.932731195139907,2.932731195139907
33,3,13141,1800,Georgia,Hancock County,Hancock,14456,781.3425159454346,0.05404970364868806,-94.59502963513118,-2.9178512178224403,2.9178512178224403
34,6,28063,1820,Mississippi,Jefferson County,Jefferson,6822,374.7878601551056,0.054938120808429435,-94.50618791915706,-2.9015478033333864,2.9015478033333864
35,7,28001,1820,Mississippi,Adams County,Adams,12076,690.5660037994385,0.05718499534609461,-94.28150046539055,-2.8614637341322844,2.8614637341322844
36,6,51115,1850,Virginia,Mathews County,Matthews,6714,390.0447998046875,0.05809425079009346,-94.19057492099066,-2.8456885737194195,2.8456885737194195
37,8,17151,1820,Illinois,Pope County,Pope,2610,151.89250087738037,0.058196360489417766,-94.18036395105823,-2.8439324607461978,2.8439324607461978
38,4,36061,1800,New York,New York County,New York,60515,3526.265869140625,0.058270938926557464,-94.17290610734426,-2.842651784578606,2.842651784578606
39,5,51115,1860,Virginia,Mathews County,Matthews,7091,413.8436279296875,0.058361814684767664,-94.16381853152323,-2.841093461143955,2.841093461143955
40,3,29089,1830,Missouri,Howard County,Howard,10854,640.2960834503174,0.05899171581447553,-94.10082841855245,-2.8303582548589574,2.8303582548589574
41,9,17005,1820,Illinois,Bond County,Bond,2931,174.3446397781372,0.059482988665348756,-94.05170113346513,-2.8220649120931722,2.8220649120931722
42,5,06091,1870,California,Sierra County,Sierra,5619,337.2418769598007,0.0600181307990391,-93.99818692009609,-2.813108582423227,2.813108582423227
