wikidata_code,name,birth,bplo1,bpla1,level1_main_occ,level3_main_occ,level3_all_occ,level3_occ,stem,GEOID,enwiki_title,article_path,article_len
Q908642,Robert_Parr,1921,-87.6500473022461,41.85002899169922,Discovery/Science,chemist,D:_chemist_academic_P:_chemist_professor_English_chimiste_théoricien_professeur_French_chimico_Italian_chemiker_German,chemist,1,17031,Robert Parr,ses_probe_articles/Q908642.txt,2511
Q1738659,Ken_Ono,1968,-75.16361236572266,39.95277786254883,Discovery/Science,mathematician,D:_mathematician_academic_P:_mathematician_professor_science_English_mathématicien_French_matematico_professore_matematica_Italian_mathematiker_German_matemátic_professor_ciência_Portuguese,mathematician,1,42101,Ken Ono,ses_probe_articles/Q1738659.txt,6693
Q33114979,M._Parker_Givens,1916,-77.4366683959961,37.54083251953125,Discovery/Science,physicist,D:_physicist_P:_physicist_professor_faculty_English,physicist,1,51760,M. Parker Givens,ses_probe_articles/Q33114979.txt,2257
Q6767783,Mark_Gottlieb_(politician),1956,-87.94999694824219,43.04999923706055,Discovery/Science,engineer,D:_engineer_engineer_politician_P:_engineer_republican_assembly_English,engineer,1,55079,Mark Gottlieb (politician),ses_probe_articles/Q6767783.txt,3904
Q15449191,Carl_Schall_(Chemiker),1856,-73.99028015136719,40.69277954101563,Discovery/Science,chemist,D:_chemist_academic_P:_chemiker_German_químic_Portuguese,chemist,1,36047,NA,NA,NA
Q6228551,John_Danner,1823,-81.3758316040039,40.80500030517578,Discovery/Science,inventor,D:_inventor_P:,inventor,1,39151,John Danner (inventor),ses_probe_articles/Q6228551.txt,2936
Q764789,Gregory_S._Paul,1954,-77.03666687011719,38.89500045776367,Discovery/Science,palaeontologist,D:_palaeontologist_illustrator_painter_scientist_illustrator_P:_research_author_illustrator_English_auteur_illustrateur_sociologie_French_paleontologo_sociologo_illustratore_Italian_illustrator_paläontologe_German_investigador_autor_ilustrador_Spanish,palaeontologist,1,11001,Gregory S. Paul,ses_probe_articles/Q764789.txt,6317
Q1174499,David_Gabai,1954,-75.16361236572266,39.95277786254883,Discovery/Science,mathematician,D:_mathematician_academic_P:_professor_mathematics_research_English_mathématicien_professeur_mathématiques_French_mathematiker_German_matemátic_Portuguese,mathematician,1,42101,David Gabai,ses_probe_articles/Q1174499.txt,2018
Q5394337,Ernie_Ansterburg,1891,-84.645599365234375,42.17720031738281,Discovery/Science,engineer,D:_engineer_P:_racecar_English,engineer,1,26075,Ernie Ansterburg,ses_probe_articles/Q5394337.txt,599
Q24005753,David_Crews,1947,-81.6500015258789,30.3166675567627,Discovery/Science,zoologist,D:_zoologist_psychologist_P:_professor_English,zoologist,1,12031,David Crews,ses_probe_articles/Q24005753.txt,16622
Q740307,Warren_B._Offutt,1928,-73.99028015136719,40.69277954101563,Discovery/Science,astronomer,D:_astronomer_P:_astronomer_radio_operator_English_astronome_French_ingenieur_im ruhestand_astronom_German,astronomer,1,36047,Warren B. Offutt,ses_probe_articles/Q740307.txt,1158
Q6442819,Herman_Royden_Sweet,1909,-71.2861099243164,41.94444274902344,Discovery/Science,botanist,D:_botanist_P:_botánic_Spanish,botanist,1,25005,NA,NA,NA
Q347356,Asa_Gray,1810,-75.31388854980469,43.00055694580078,Discovery/Science,botanist,D:_curator_botanist_academic_P:_botanist_scientist_explorer_English_botaniste_disciple_French_botanico_Italian_botaniker_offiziell_autor_German_naturalista_médic_botánic_Spanish_botânico_Portuguese_botaniker_Swedish,botanist,1,36065,Asa Gray,ses_probe_articles/Q347356.txt,41978
Q1441407,Francis_Blake_(telephone),1850,-71.23332977294922,42.28333282470703,Discovery/Science,inventor,D:_inventor_engineer_P:_ son_English_wissenschaftler_erfinder_fotograf_German_uppfinnare_Swedish,inventor,1,25021,Francis Blake (inventor),ses_probe_articles/Q1441407.txt,1938
Q6531982,Lester_Wire,1887,-111.8833312988281,40.75,Discovery/Science,engineer,D:_engineer_P:_invention_detective_police_English,engineer,1,49035,Lester Wire,ses_probe_articles/Q6531982.txt,9589
Q7511956,Clifford_Tabin,1954,-87.76080322265625,42.13140106201172,Discovery/Science,geneticist,D:_geneticist_academic_P:_genetics_medical_English_genetiker_German,geneticist,1,17031,Clifford Tabin,ses_probe_articles/Q7511956.txt,4143
Q3710456,Dorothy_Maharam,1917,-81.54222106933594,39.26610946655273,Discovery/Science,mathematician,D:_mathematician_P:_published_mathematician_English_mathématicien_French_matemátic_Spanish,mathematician,1,54107,Dorothy Maharam,ses_probe_articles/Q3710456.txt,1990
Q2424962,Thomas_J._M._Schopf,1939,-88.20417022705078,40.10972213745117,Discovery/Science,palaeontologist,D:_palaeontologist_academic_P:_paläontologe_German,palaeontologist,1,17019,NA,NA,NA
Q6387935,Ken_Kennedy_(computer_scientist),1945,-77.03666687011719,38.89500045776367,Discovery/Science,computer_scientist,D:_computer_scientist_engineer_P:_computer scientist_scientist_professor_English_informatiker_German_cientista_Portuguese,computer_scientist,1,11001,Ken Kennedy (computer scientist),ses_probe_articles/Q6387935.txt,2631
Q1124416,Conde_McCullough,1887,-98.51777648925781,44.87527847290039,Discovery/Science,engineer,D:_engineer_lawyer_engineer_architect_academic_P:_engineer_professor_engineer_English_ingénieur_construction_French_ingenieur_laufen_hochschullehrer_German,engineer,1,46115,Conde McCullough,ses_probe_articles/Q1124416.txt,2799
