wikidata,name,birth_year,death_year,father_name,father_occupation,father_education,mother_name,mother_occupation,mother_education,family_ses,family_ses_evidence,birthplace_type,primary_school,secondary_school,university,mentions_elite_hs,elite_hs_name,summary
Q1124416,Conde Balcom McCullough,1887,1946,unknown,unknown,unknown,unknown,unknown,unknown,working,"after his father died in 1904, ""McCullough then worked at various jobs to support the family""",town,unknown,unknown,Iowa State University; Willamette University College of Law,no,unknown,"Born 1887 in Redfield, South Dakota; father died 1904; worked various jobs to support family before civil engineering degree from Iowa State."
Q1174499,David Gabai,1954,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,MIT (B.S. 1976); Princeton (Ph.D. 1980),no,unknown,Article provides no information on family background or pre-college schooling.
Q1441407,Francis Blake Jr.,1850,1913,Francis Blake Sr.,unknown,unknown,Caroline Burling Trumbull,unknown,unknown,upper-middle,"father-in-law ""provided land in Weston, on which Blake designed and built an elaborate house""; worked on US Coast Survey from teenage years",town,unknown,unknown,unknown,no,unknown,"Born in Needham, MA; well-connected New England background; married into Hubbard family."
Q1738659,Ken Ono,1968,unknown,Takashi Ono,mathematician (university professor),unknown,unknown,unknown,unknown,upper-middle,son of mathematician Takashi Ono with a position at the University of Pennsylvania,urban,unknown,Towson High School (dropped out),University of Chicago (BA 1989); UCLA (PhD 1993),no,unknown,"Born in Philadelphia to an academic-mathematician father; dropped out of Towson HS before U of Chicago."
Q24005753,David Pafford Crews,1947,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,University of Maryland (B.A. 1969); Rutgers (Ph.D. 1973); UC Berkeley (postdoc),no,unknown,No family background info.
Q33114979,Miles Parker Givens,1916,2013,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,urban,unknown,unknown,University of Richmond; Cornell University,no,unknown,"Born in Richmond, VA; only education noted."
Q347356,Asa Gray,1810,1888,Moses Gray,"tanner, later farmer",unknown,Roxanna Howard Gray,unknown,unknown,middle,"father ""used his profits to buy farms in the area, and in about 1823 sold the tannery and became a farmer""",rural,Clinton Grammar School,Fairfield Academy,Fairfield Medical College,no,unknown,"Eldest of eight; rural NY tanner-turned-farmer father; Scotch-Irish Presbyterian; modest middle-class."
Q3710456,Dorothy Maharam Stone,1917,2014,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,town,unknown,unknown,Carnegie Institute of Technology; Bryn Mawr College,no,unknown,"Born in Parkersburg, WV; Carnegie Tech BS 1937; Bryn Mawr PhD 1940."
Q5394337,Ernest Putnam Ansterburg,1891,1924,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,Only covers racing career and fatal 1924 crash.
Q6228551,John Danner,1823,1918,Jacob Danner,unknown,unknown,Anna Slusser,unknown,unknown,middle,maternal grandfather Philip Slusser built the first mill in Stark County in 1816; attended private school of Presbyterian minister,town,private school of Presbyterian minister T. M. Hopkins,unknown,unknown,no,unknown,"Born Canton, OH; family with local standing (grandfather built first mill in Stark County)."
Q6387935,Ken Kennedy,1945,2007,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Rice University,no,unknown,No background info.
Q6531982,Lester Farnsworth Wire,1887,1958,Frank Wire,police officer,unknown,Lida Wire,unknown,unknown,middle,"enrolled in the University of Utah as a law student, but found it too expensive and quit",urban,unknown,Salt Lake High School,University of Utah,no,unknown,Son of Salt Lake City police officer; modest middle-class Mormon family.
Q6767783,Mark Gottlieb,1956,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,urban,unknown,James Madison High School (Milwaukee),University of Wisconsin–Milwaukee,no,unknown,"Born Milwaukee; James Madison HS; UW–Milwaukee civil engineering."
Q740307,Warren B. Offutt,1928,2017,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,Amateur astronomer/engineer; no family or education info.
Q7511956,Clifford James Tabin,1954,unknown,Julius Tabin,nuclear physicist,unknown,unknown,unknown,unknown,upper-middle,son of Julius Tabin who worked with Enrico Fermi on the Manhattan Project,unknown,unknown,unknown,University of Chicago; MIT,no,unknown,Son of a Manhattan Project nuclear physicist.
Q764789,Gregory Scott Paul,1954,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,No background info; later worked informally at Johns Hopkins without formal paleontology degree.
Q908642,Robert Ghormley Parr,1921,2017,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Brown University; University of Minnesota,no,unknown,No background info; Brown AB 1942 magna cum laude; Minnesota PhD 1947.
