wikidata_code,birth,bplo1,bpla1,level1_main_occ,level3_main_occ,level3_all_occ,level3_occ,stem,GEOID,birth_decade,father_uri,father_occ,mother_uri,schools_uris,has_father,has_mother,has_school,has_father_occ
Q908642,1921,-87.6500473022461,41.85002899169922,Discovery/Science,chemist,D:_chemist_academic_P:_chemist_professor_English_chimiste_théoricien_professeur_French_chimico_Italian_chemiker_German,chemist,1,17031,1920,NA,NA,NA,http://www.wikidata.org/entity/Q49114|http://www.wikidata.org/entity/Q238101,FALSE,FALSE,TRUE,FALSE
Q1738659,1968,-75.16361236572266,39.95277786254883,Discovery/Science,mathematician,D:_mathematician_academic_P:_mathematician_professor_science_English_mathématicien_French_matematico_professore_matematica_Italian_mathematiker_German_matemátic_professor_ciência_Portuguese,mathematician,1,42101,1960,http://www.wikidata.org/entity/Q21176243,http://www.wikidata.org/entity/Q170790,NA,http://www.wikidata.org/entity/Q131252|http://www.wikidata.org/entity/Q174710|http://www.wikidata.org/entity/Q7830318,TRUE,FALSE,TRUE,TRUE
Q33114979,1916,-77.4366683959961,37.54083251953125,Discovery/Science,physicist,D:_physicist_P:_physicist_professor_faculty_English,physicist,1,51760,1910,NA,NA,NA,http://www.wikidata.org/entity/Q49115|http://www.wikidata.org/entity/Q1115878,FALSE,FALSE,TRUE,FALSE
Q6767783,1956,-87.94999694824219,43.04999923706055,Discovery/Science,engineer,D:_engineer_engineer_politician_P:_engineer_republican_assembly_English,engineer,1,55079,1950,NA,NA,NA,http://www.wikidata.org/entity/Q1755318,FALSE,FALSE,TRUE,FALSE
Q15449191,1856,-73.99028015136719,40.69277954101563,Discovery/Science,chemist,D:_chemist_academic_P:_chemiker_German_químic_Portuguese,chemist,1,36047,1850,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q6228551,1823,-81.3758316040039,40.80500030517578,Discovery/Science,inventor,D:_inventor_P:,inventor,1,39151,1820,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q764789,1954,-77.03666687011719,38.89500045776367,Discovery/Science,palaeontologist,D:_palaeontologist_illustrator_painter_scientist_illustrator_P:_research_author_illustrator_English_auteur_illustrateur_sociologie_French_paleontologo_sociologo_illustratore_Italian_illustrator_paläontologe_German_investigador_autor_ilustrador_Spanish,palaeontologist,1,11001,1950,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q1174499,1954,-75.16361236572266,39.95277786254883,Discovery/Science,mathematician,D:_mathematician_academic_P:_professor_mathematics_research_English_mathématicien_professeur_mathématiques_French_mathematiker_German_matemátic_Portuguese,mathematician,1,42101,1950,NA,NA,NA,http://www.wikidata.org/entity/Q21578|http://www.wikidata.org/entity/Q15262564,FALSE,FALSE,TRUE,FALSE
Q5394337,1891,-84.645599365234375,42.17720031738281,Discovery/Science,engineer,D:_engineer_P:_racecar_English,engineer,1,26075,1890,NA,NA,NA,,FALSE,FALSE,FALSE,FALSE
Q24005753,1947,-81.6500015258789,30.3166675567627,Discovery/Science,zoologist,D:_zoologist_psychologist_P:_professor_English,zoologist,1,12031,1940,NA,NA,NA,http://www.wikidata.org/entity/Q168756|http://www.wikidata.org/entity/Q499451|http://www.wikidata.org/entity/Q503415,FALSE,FALSE,TRUE,FALSE
