state,state_abbr,school,city,county_name,founding_year_used,roots_year,continuity_status,lineage_note,school_type,elite_signal,confidence,admission_model_current_prelim,access_model_current_prelim,access_model_historical_prelim,admissions_access_coding_status
Alabama,AL,St. Paul's School,Mobile,Mobile County,1892,1892,continuous,Continuous school from 1892,Private college-prep day school,Longstanding elite independent school in Alabama,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Arizona,AZ,Brophy College Preparatory,Phoenix,Maricopa County,1928,1928,continuous,Continuous school from 1928,Private Jesuit college-prep school,Selective flagship Catholic prep school in Arizona,high,exam_based,private_need_aid,private_tuition_dominant,pending_second_pass
Arkansas,AR,Little Rock Central High School,Little Rock,Pulaski County,1927,1927,continuous,Current campus opened in 1927,Public academic high school,Historically prominent flagship public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
California,CA,Lowell High School,San Francisco,San Francisco County,1856,1856,continuous_renamed,Early names preceded the Lowell name adopted in 1894,Public merit high school,Historic selective public high school,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
California,CA,The Thacher School,Ojai,Ventura County,1889,1889,continuous,Continuous school from 1889,Private boarding school,Historic elite California boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
California,CA,Cate School,Carpinteria,Santa Barbara County,1910,1910,continuous_renamed,Miramar School became Santa Barbara School and then Cate,Private boarding and day school,Historic elite California boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
California,CA,The Webb School of California,Claremont,Los Angeles County,1922,1922,continuous,Continuous school from 1922,Private boarding and day school,Historic selective Southern California boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Colorado,CO,Colorado Academy,Denver,Jefferson County,1906,1906,continuous_renamed,Founded as Hill School for Boys; later Colorado Military School and Colorado Academy,Private day college-prep school,Longstanding elite independent school in Colorado,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Colorado,CO,Fountain Valley School of Colorado,Colorado Springs,El Paso County,1930,1930,continuous,Continuous school from 1930,Private boarding and day school,Historic selective boarding school in Colorado,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Colorado,CO,Kent Denver School,Englewood,Arapahoe County,1926,1926,later_merger_use_roots,Use Kent School for Boys roots; current Kent Denver is a later merger,Private day school,Merged lineage of elite Denver prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Connecticut,CT,The Hotchkiss School,Lakeville,Litchfield County,1891,1891,continuous,Continuous school from 1891,Private boarding school,Premier New England boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Connecticut,CT,The Taft School,Watertown,Litchfield County,1890,1890,continuous_renamed,Founded as Mr. Taft's School; later renamed Taft,Private boarding and day school,Premier New England boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Connecticut,CT,Choate School / Choate Rosemary Hall,Wallingford,New Haven County,1896,1890,later_merger_use_roots,Use Choate School 1896 and Rosemary Hall 1890 roots; current institution is a 1974 merger,Private boarding and day school,Merged lineage of nationally elite boarding schools,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Connecticut,CT,Loomis Chaffee School,Windsor,Hartford County,1914,1914,continuous,Continuous school from 1914,Private boarding and day school,Established elite Connecticut boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Delaware,DE,Tower Hill School,Wilmington,New Castle County,1919,1919,continuous,Continuous school from 1919,Private day college-prep school,Top Delaware independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Delaware,DE,St. Andrew's School,Middletown,New Castle County,1929,1929,continuous,Continuous school from 1929,Private boarding school,Historic selective boarding school in Delaware,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Florida,FL,Ransom Everglades School,Coconut Grove,Miami-Dade County,1903,1903,later_merger_use_roots,Use Ransom School roots; current Ransom Everglades is a later merger,Private day college-prep school,Merged lineage of elite South Florida prep schools,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Georgia,GA,Woodward Academy,College Park,Fulton County,1900,1900,continuous_renamed,Founded as Georgia Military Academy; renamed Woodward Academy in 1966,Private college-prep school,Longstanding elite Atlanta independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Georgia,GA,Westminster Schools,Atlanta,Fulton County,1888,1878,later_merger_use_roots,Use North Avenue Presbyterian School 1888 and Washington Seminary 1878 roots; current institution founded by merger in 1951,Private school,Merged lineage of elite Atlanta prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Hawaii,HI,Punahou School,Honolulu,Honolulu County,1841,1841,continuous,Continuous school from 1841,Private college-prep school,Historically elite Hawaiian college-prep school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Hawaii,HI,Iolani School,Honolulu,Honolulu County,1863,1863,continuous,Continuous school from 1863,Private college-prep school,Historically elite Hawaiian college-prep school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Illinois,IL,University of Chicago Laboratory Schools,Chicago,Cook County,1896,1896,continuous,Continuous school lineage from 1896,Private university-affiliated school,Pioneering and nationally prominent academic school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Illinois,IL,Latin School of Chicago,Chicago,Cook County,1888,1888,continuous,Continuous school from 1888,Private day college-prep school,Historic elite Chicago independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Illinois,IL,Lane Tech College Prep High School,Chicago,Cook County,1908,1908,continuous_renamed,Founded as Lane Manual Training High School; later Lane Technical High School,Public selective-enrollment high school,Longstanding selective public high school in Chicago,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Illinois,IL,Francis W. Parker School,Chicago,Cook County,1901,1901,continuous,Continuous school from 1901,Private day school,Historic elite Chicago independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Indiana,IN,Culver Academies,Culver,Marshall County,1894,1894,continuous,Continuous school from 1894,Private boarding and day school,Historically elite Midwestern boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Indiana,IN,Shortridge High School,Indianapolis,Marion County,1864,1864,continuous,Continuous school from 1864,Public high school,Historically elite Indianapolis public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Iowa,IA,Scattergood Friends School,West Branch,Cedar County,1890,1890,continuous,Continuous school from 1890,Private boarding school,Historically distinctive Iowa boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Kentucky,KY,Louisville Male High School,Louisville,Jefferson County,1856,1856,continuous,Continuous school from 1856,Public magnet high school,Longstanding academically prominent public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Kentucky,KY,duPont Manual High School,Louisville,Jefferson County,1892,1892,continuous,Continuous school from 1892,Public magnet high school,Historically selective flagship public high school,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Louisiana,LA,Isidore Newman School,New Orleans,Orleans Parish,1903,1903,continuous,Continuous school from 1903,Private day college-prep school,Flagship elite independent school in New Orleans,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Louisiana,LA,Metairie Park Country Day School,Metairie,Jefferson Parish,1929,1929,continuous,Continuous school from 1929,Private day school,Longstanding elite New Orleans area independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Maine,ME,Hebron Academy,Hebron,Oxford County,1804,1804,continuous,Continuous school from 1804,Private boarding and day school,Historic New England academy with college-prep role,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Maine,ME,Waynflete School,Portland,Cumberland County,1898,1898,continuous,Continuous school from 1898,Private day school,Longstanding elite Portland independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Maryland,MD,Baltimore City College,Baltimore,Baltimore city,1839,1839,continuous_renamed,Founded as The High School; later Central High School of Baltimore and Baltimore City College,Public selective college-prep school,Historic elite public city school,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Maryland,MD,Baltimore Polytechnic Institute,Baltimore,Baltimore city,1883,1883,continuous_renamed,Founded as Baltimore Manual Training School; later Baltimore Polytechnic Institute,Public selective STEM high school,Historic selective STEM public high school,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Maryland,MD,Gilman School,Baltimore,Baltimore city,1897,1897,continuous,Continuous school from 1897,Private day school,Flagship elite Baltimore boys' school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Maryland,MD,McDonogh School,Owings Mills,Baltimore County,1873,1873,continuous,Continuous school from 1873,Private day school with boarding option,Longstanding elite Baltimore-area prep school,high,holistic_private,private_need_aid,historically_for_poor,pending_second_pass
Massachusetts,MA,Groton School,Groton,Middlesex County,1884,1884,continuous,Continuous school from 1884,Private boarding school,Canonical elite boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Massachusetts,MA,Noble and Greenough School,Dedham,Norfolk County,1866,1866,continuous_renamed,Founded as Noble's Classical School; later Noble and Greenough,Private day and boarding school,Historic elite Boston day school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Massachusetts,MA,Middlesex School,Concord,Middlesex County,1901,1901,continuous,Continuous school from 1901,Private boarding school,Elite Massachusetts boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Massachusetts,MA,Belmont Hill School,Belmont,Middlesex County,1923,1923,continuous,Continuous school from 1923,Private boys' day school,Elite Boston-area boys' school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Michigan,MI,Cranbrook Schools,Bloomfield Hills,Oakland County,1922,1922,continuous,Continuous school from 1922,Private school,Historically elite Detroit-area independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Michigan,MI,Detroit Country Day School,Beverly Hills,Oakland County,1914,1914,continuous,Continuous school from 1914,Private day school,Elite Detroit-area independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Michigan,MI,University of Detroit Jesuit High School and Academy,Detroit,Wayne County,1877,1877,continuous,Continuous school from 1877,Private Jesuit school,Longstanding elite Jesuit boys' school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Minnesota,MN,Breck School,Golden Valley,Hennepin County,1886,1886,continuous,Continuous school from 1886,Private school,Longstanding elite Twin Cities independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Minnesota,MN,The Blake School,Hopkins,Hennepin County,1900,1900,later_merger_use_roots,Use Blake predecessor roots; current institution is a later merger,Private school,Merged lineage of elite Twin Cities prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Minnesota,MN,Shattuck-St. Mary's School,Faribault,Rice County,1858,1858,later_merger_use_roots,Use Shattuck and St. Mary's predecessor roots; current institution is a later merger,Private boarding and day school,Merged lineage of prominent Minnesota prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Missouri,MO,John Burroughs School,Ladue,St. Louis County,1923,1923,continuous,Continuous school from 1923,Private day school,Elite St. Louis independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Missouri,MO,Pembroke Hill School,Kansas City,Jackson County,1910,1910,later_merger_use_roots,Use predecessor roots from the Kansas City independent schools that later merged,Private school,Merged lineage of elite Kansas City prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Missouri,MO,MICDS,Ladue,St. Louis County,1913,1859,later_merger_use_roots,Use St. Louis Country Day and Mary Institute roots; current institution is a later merger,Private school,Merged lineage of elite St. Louis prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Nebraska,NE,Brownell Talbot College Preparatory School,Omaha,Douglas County,1863,1863,continuous,Continuous school from 1863,Private college-prep school,Longstanding elite Omaha independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Nebraska,NE,Omaha Central High School,Omaha,Douglas County,1859,1859,continuous,Continuous school from 1859,Public high school,Historically prominent Omaha public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
New Hampshire,NH,St. Paul's School,Concord,Merrimack County,1856,1856,continuous,Continuous school from 1856,Private boarding school,Canonical elite boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Hampshire,NH,Holderness School,Holderness,Grafton County,1879,1879,continuous,Continuous school from 1879,Private boarding and day school,Longstanding elite New Hampshire boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Jersey,NJ,The Lawrenceville School,Lawrenceville,Mercer County,1810,1810,continuous_renamed,Founded as Maidenhead Academy; later Lawrenceville School,Private boarding and day school,Canonical elite prep school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Jersey,NJ,The Pingry School,Basking Ridge,Somerset County,1861,1861,continuous,Use 1861 continuous Pingry school lineage; current campus is later,Private day school,Longstanding elite New Jersey independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Jersey,NJ,Blair Academy,Blairstown,Warren County,1848,1848,continuous,Continuous school from 1848,Private boarding and day school,Historic elite New Jersey boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New Jersey,NJ,Peddie School,Hightstown,Mercer County,1864,1864,continuous,Continuous school from 1864,Private boarding and day school,Historic elite New Jersey boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
