geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
afg,Afghanistan,157900,157900,157900,157900,157900,157900,157900,157900,157900,157900,157900,157900,158000,158100,158300,158500,158700,158900,159300,159600,160000,160400,160900,161400,161900,162500,163100,163800,164500,165200,166000,166800,167700,168500,169400,170200,171100,171900,172800,173600,174500,175400,176200,177100,178000,178900,179800,180700,181600,182500,183400,184200,185000,185700,186500,187300,188100,188900,189700,190500,191300,192100,193000,193800,194800,195700,196600,197600,198600,199700,200700,201800,202900,203900,205100,206300,207500,208700,210000,211400,212700,214100,215500,216800,218200,219600,221000,222400,223800,225300,226700,228200,229600,231100,232600,234100,235600,237100,238600,240200,241700,243300,244800,246400,247900,249500,251100,252700,254300,256000,257600,259200,260900,262800,264900,267200,269500,271900,274600,277200,279900,282500,285200,288000,290700,293500,297500,301100,305200,309300,313200,317100,320900,324800,328700,332600,336400,340300,344200,348100,351900,355800,359700,363600,367400,371300,375200,379000,382900,386800,390700,393600,399600,406000,412900,420100,427700,435700,444100,452900,462200,471800,481900,492400,503300,514600,526500,538900,551700,564700,577800,591200,604500,617400,629300,639400,646900,651400,652700,651000,646000,637700,627000,615400,604100,595100,590000,589900,595700,607900,626900,652700,684100,719400,757200,796400,835400,873400,909500,942800,972800,999800,1024000,1047000,1066000,1083000,1094000,1101000,1104000,1102000,1098000,1092000,1087000,1083000,1081000,1081000
ago,Angola,74730,74730,74730,74730,74730,74730,74730,74830,74830,74830,74830,74860,74910,74990,75100,75230,75380,75570,75780,76020,76290,76690,77010,77360,77740,78160,78590,79060,79560,80080,80640,81230,81820,82410,83010,83730,84340,84950,85570,86190,86820,87450,88080,88720,89370,90020,90670,91330,92000,92790,93460,94210,94960,95720,96480,97260,98030,98820,99600,100400,101200,102000,102800,103800,104600,105400,106300,107100,108000,108900,109700,110600,111500,112300,113200,114100,115100,116100,117000,118000,118900,119800,120800,121800,122700,123700,124700,125700,126700,127700,128700,129900,130900,132000,133000,134100,135100,136200,137300,138400,139500,140600,141700,142900,144000,145300,146500,147600,148800,150000,151200,152400,153600,154800,156100,157300,158500,159800,160900,162300,163500,164700,165900,167100,168300,169500,170800,171800,173000,174100,177600,181200,184700,188300,191900,195400,199000,202500,206100,209700,213200,216800,220400,223900,227500,231000,234600,238200,241700,245300,248800,251000,255100,259300,263400,267500,271500,275400,279300,283200,287000,290800,294700,298600,302700,307100,311700,316800,322300,328400,335100,342500,350700,359700,369400,379800,391000,403000,415500,428500,442000,455900,470100,484500,499100,513900,528900,544100,559500,575200,591300,607700,624500,641700,659400,677600,696100,715000,734300,754100,774500,795800,818200,841400,865600,890200,915000,939700,963900,987700,1011000,1034000,1057000,1080000,1104000,1128000
alb,Albania,13510,13550,13590,13640,13680,13720,13760,13810,13850,13890,13940,13980,14030,14080,14120,14170,14220,14280,14330,14380,14440,14490,14550,14610,14670,14730,14790,14850,14920,14980,15050,15110,15180,15250,15320,15390,15460,15530,15600,15670,15740,15810,15890,15970,16060,16150,16250,16350,16460,16570,16680,16810,16940,17080,17220,17370,17520,17680,17850,18020,18190,18370,18550,18740,18920,19110,19300,19490,19680,19880,20080,20270,20470,20670,20870,21080,21290,21490,21700,21920,22130,22340,22560,22790,23010,23230,23460,23690,23930,24160,24410,24650,24900,25160,25410,25670,25930,26190,26460,26720,26980,27250,27510,27780,28040,28300,28570,28830,29100,29380,29650,29930,30220,30470,30690,30860,31040,31220,31390,31550,31720,31890,32060,32230,32390,32560,31600,30690,29700,28700,29620,30540,31460,32380,33300,34220,35140,36060,36980,37900,38820,39740,40660,41580,42500,43420,44340,45260,46180,47100,48020,49300,51810,54210,56500,58670,60720,62620,64380,65920,67210,68210,68890,69250,69320,69180,68940,68700,68520,68480,68560,68760,68990,69230,69470,69730,70030,70400,70870,71460,72220,73230,74470,75860,77300,78650,79730,80390,80530,80080,78990,77260,75020,72400,69500,66420,63240,60050,56900,53860,50950,48130,45350,42650,40110,37870,36120,34960,34420,34470,35020,35920,36970,37990,38870,39530
are,UAE,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1919,1919,1919,1919,1920,1920,1920,1921,1922,1923,1925,1927,1930,1934,1938,1942,1947,1953,1959,1965,1970,1978,1987,1996,2004,2015,2027,2038,2050,2062,2073,2085,2097,2109,2121,2133,2146,2158,2170,2183,2195,2208,2221,2234,2246,2259,2272,2285,2298,2311,2325,2338,2352,2365,2379,2392,2406,2420,2434,2448,2464,2483,2504,2526,2548,2569,2591,2612,2634,2657,2679,2702,2724,2747,2771,2794,2818,2859,2899,2940,2981,3022,3062,3103,3144,3184,3225,3266,3307,3347,3388,3429,3469,3510,3551,3592,3632,3673,3652,3627,3638,3684,3766,3882,4033,4218,4435,4684,4964,5278,5630,6028,6470,6951,7482,8081,8776,9603,10600,11790,13190,14810,16670,18800,21170,23710,26380,29090,31780,34390,36840,39070,41030,42680,44050,45160,46040,46680,47090,47310,47420,47500,47620,47830,48180,48770,49700,51140,53250,56070,59550,63600,68130,73010,77990,82840,87330,91210,94260,96480,97860,98440,98300
arg,Argentina,25030,25030,25030,25030,25030,25030,25030,25030,25030,25030,25030,25060,25120,25200,25320,25480,25660,25880,26140,26420,26750,27110,27510,27950,28420,28940,29500,30110,30750,31450,32180,32970,33770,34600,35440,36300,37190,38100,39020,39980,40950,41950,42970,44020,45100,46210,47340,48500,49700,50920,52170,53460,54780,56130,57520,58940,60400,61890,63430,65000,66610,68300,70050,71880,73790,75780,77850,80000,82250,84590,86200,87740,96600,99000,101900,105000,108200,111200,114600,118300,122000,125500,129500,132000,134200,136700,139200,141500,145000,148500,152200,155900,159700,165400,171300,177400,183900,190700,197200,204000,211100,218600,225700,231800,238200,244800,251600,257700,263900,270200,276600,282800,289300,296200,301800,305500,308000,309900,311500,313600,316500,320700,326500,333300,340100,346200,351500,356800,359100,360900,365000,369100,373200,377400,381500,385600,389700,393900,398000,402100,406300,410400,414500,418600,422800,426900,431000,435200,439300,443400,447500,450200,455300,460200,464900,469300,473600,477600,481400,485000,488300,491400,494500,497700,501300,505600,510900,517400,525300,535000,547100,562500,581100,602000,624300,646100,664900,679400,688500,692500,692100,689000,685500,683500,683600,686200,691200,697200,703300,709100,713800,717000,718700,719000,718100,716500,715100,714500,715000,716900,720000,723900,727900,731500,734600,737200,739400,741600,744000,746500,748900,751100,752700,753700,753900,753400
arm,Armenia,21990,21990,22020,22020,22020,22050,22050,22050,22070,22070,22070,22080,22130,22160,22200,22270,22330,22400,22510,22600,22700,22840,22960,23090,23260,23420,23580,23790,23980,24180,24390,24640,24870,25100,25360,25590,25820,26090,26330,26570,26850,27090,27340,27620,27880,28130,28420,28680,28950,29210,29520,29780,30060,30360,30640,30920,31240,31520,31810,32140,32430,32720,33060,33360,33660,34010,34320,34630,34950,35310,35630,35950,36320,36640,36980,37360,37700,38030,38420,38770,39120,39520,39880,40240,40640,41020,41390,41760,42190,42570,42960,43400,43790,44190,44650,45050,45410,45770,46130,46500,46870,47240,47610,47990,48370,48750,49140,49520,49910,50300,50700,51100,51510,51920,52330,52740,53160,53580,54010,54440,54870,55310,55750,56190,56640,57090,56580,56060,55460,54910,54370,53830,53290,52750,52210,51670,51130,50590,50050,49510,48970,48430,47890,47350,46810,46270,45730,45190,44650,44110,43570,44970,47800,50660,53550,56470,59370,62190,64840,67130,68840,69810,69860,68970,67270,65030,62640,60480,58870,57970,57800,58260,59100,60080,61140,62260,63440,64740,66190,67760,69460,71340,73340,75340,77180,78650,79490,79550,78740,77040,74400,70830,66560,61880,57060,52470,48440,45160,42740,41240,40590,40640,41070,41610,42100,42410,42480,42360,42110,41730,41250,40750,40270,39850,39490,39140
atg,Antigua and Barbuda,1312,1312,1309,1309,1309,1307,1307,1304,1304,1304,1302,1302,1302,1300,1300,1297,1297,1297,1295,1295,1295,1293,1293,1293,1290,1290,1288,1288,1288,1286,1286,1286,1283,1283,1281,1281,1281,1279,1279,1279,1276,1276,1274,1274,1274,1272,1272,1272,1269,1269,1269,1267,1266,1263,1262,1261,1257,1254,1252,1247,1244,1238,1235,1232,1226,1223,1219,1214,1210,1207,1201,1198,1193,1188,1186,1183,1182,1180,1179,1181,1181,1183,1186,1188,1191,1196,1198,1204,1206,1209,1210,1208,1208,1206,1200,1196,1191,1181,1174,1164,1156,1148,1138,1129,1120,1108,1098,1086,1076,1066,1055,1046,1038,1029,1023,1016,1007,1001,992,986,980,978,985,998,1010,1023,1035,1049,1063,1076,1106,1135,1165,1194,1224,1254,1283,1313,1343,1372,1402,1431,1461,1491,1520,1550,1580,1609,1639,1668,1698,1712,1738,1760,1777,1791,1801,1807,1812,1816,1822,1830,1844,1862,1884,1907,1928,1944,1951,1946,1926,1885,1826,1751,1665,1575,1491,1418,1361,1322,1300,1288,1281,1272,1259,1243,1224,1207,1195,1189,1193,1208,1234,1270,1314,1363,1412,1459,1499,1531,1553,1563,1565,1561,1551,1538,1523,1509,1497,1487,1481,1478,1479,1481,1484,1488
aus,Australia,15780,15700,15620,15530,15450,15370,15290,15200,15120,15040,14960,14880,14790,14710,14630,14560,14480,14400,14320,14240,14170,14110,14060,14030,14020,14020,13990,13970,13960,14010,14080,14220,14360,14540,14730,14940,15160,15380,15660,16010,16410,16810,17370,18060,18870,19830,20880,22080,23390,24720,27400,29420,29180,32900,33620,38800,39880,45560,48610,51430,53510,55290,58840,58770,62560,63370,61700,64430,66340,65030,66730,67230,67410,69570,70300,70470,72440,72040,74920,78010,79530,81920,82820,86410,91240,94620,96950,100800,103700,104300,108100,109300,109400,108900,104300,105000,99860,100800,98800,100700,102200,103300,102800,98820,104600,105400,108700,110900,112100,114800,117700,122900,133500,135200,137100,134400,132100,131100,126600,122300,136300,136800,138000,135200,135200,136300,133600,133800,134300,129300,132100,134900,137700,140400,143200,146000,148800,151600,154400,157200,160000,162800,165600,168400,171200,174000,176800,179600,182400,185200,188000,191200,197500,203100,208200,212800,216700,220200,223100,225600,227800,229700,231400,233100,234800,236800,239400,242400,245800,249200,252000,253400,252900,250600,246500,241300,236000,231600,228600,227500,228200,230300,233100,236100,239000,241700,244300,247000,249800,252500,255000,256800,257900,258200,257600,256300,254400,252200,250100,248600,248100,249300,252300,256900,263100,270400,278200,285900,292900,298800,303700,307500,310500,313200,315600,317600
aut,Austria,115700,115900,116200,116500,116800,117100,117400,117700,118000,118300,118600,118900,119200,119600,119900,120300,120700,121100,121500,121900,122400,122800,123300,123800,124300,124800,125300,125900,126500,127100,127700,128300,128900,129600,130300,131000,131600,132300,133100,133800,134500,135300,136100,136800,137700,138500,139300,140300,141100,142100,143000,143900,144900,145800,146800,147800,148800,149800,150800,151800,152800,152800,152800,152800,152800,152500,152500,152500,152500,152500,152600,154500,159300,163200,163300,165300,170200,164800,162200,163800,165700,164300,166200,165900,169800,168100,170100,170800,170400,172300,166000,177000,172100,175800,176600,181200,182800,181900,184500,186400,187300,189700,192000,184300,188000,181700,184500,181000,180000,180000,176400,168900,170400,163300,157800,151800,145200,138000,128900,120600,146700,150900,150900,146900,142100,135800,127200,118700,116700,112000,111300,110500,109800,109100,108300,107600,106800,106100,105300,104600,103800,103100,102300,101600,100800,100100,99360,98610,97870,97120,96370,98440,102500,106500,110300,114000,117500,120900,124100,127100,129600,131700,133200,134100,134200,133400,131600,128900,125400,121200,116500,111500,106500,101700,97370,93680,90880,88950,87800,87340,87380,87640,87870,87910,87680,87300,86980,86940,87310,88010,88880,89640,90040,89910,89200,87980,86370,84620,82940,81450,80200,79230,78460,77850,77400,77130,77060,77180,77460,77890,78450,79110,79840,80610,81370,82100
aze,Azerbaijan,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,48500,48520,48560,48630,48710,48820,48950,49110,49280,49480,49700,49950,50220,50510,50820,51160,51530,51920,52330,52770,53240,53720,54220,54720,55220,55730,56240,56760,57280,57810,58340,58880,59420,59970,60520,61080,61640,62210,62780,63360,63940,64530,65120,65710,66310,66920,67530,68140,68770,69390,70030,70670,71310,71960,72620,73280,73950,74630,75310,76000,76690,77390,78100,78790,79510,80240,80970,81690,82430,83180,83940,84690,85460,86250,87020,87810,88610,89410,90220,91050,91880,92720,93560,94420,95280,96150,96690,97240,97780,98330,98880,99440,99980,100500,101100,101600,102200,102800,103300,103900,104500,105000,105600,106200,106700,107300,107900,108500,109100,109700,110200,110800,111400,112000,112600,113200,113400,113600,113500,113700,114100,114400,114800,115200,115600,116000,116300,116700,117100,117500,117800,118200,118600,119000,119400,119700,120100,120500,120900,121200,121600,123100,126400,130100,134400,139300,144500,150100,155800,161200,166100,169800,172100,172700,171700,169200,165600,161400,157300,153600,150500,148200,146500,145500,145100,145400,146300,147800,149800,152300,155200,158800,163000,167700,172600,177700,182900,187900,192400,196000,197900,197500,194700,189500,182400,174000,165000,156400,149100,143700,141000,141200,144100,149200,155900,163800,172200,180300,187600,193400,197500,199600,200100,199100,196800,193400
