decade,n_counties,n_NA,n_zero,n_positive,sum_population
1800,3143,0,1,3142,6272560.14607358
1810,3143,0,1,3142,8125892.113076568
1820,3143,0,1,3142,10539054.006574392
1830,3143,0,1,3142,13765203.348797321
1840,3143,0,1,3142,17924415.959547997
1850,3143,0,1,3142,23674543.752596855
1860,3143,0,1,3142,31734183.929965973
1870,3143,0,1,3142,38774007.173820496
1880,3143,0,1,3142,50335088.35542488
1890,3143,0,1,3142,62812867.35488415
1900,3143,0,1,3142,75815871.28493118
1910,3143,0,1,3142,91078778.49100018
1920,3143,0,1,3142,105354021.31923008
1930,3143,0,1,3142,122317692.31027317
1940,3143,0,1,3142,131150763.36496067
1950,3143,0,1,3142,156456285.46914482
1960,3143,0,1,3142,177890012.59303474
1970,3143,0,1,3142,201099003.37951088
1980,3143,0,1,3142,224001418.9597702
1990,3143,0,1,3142,246320164.04299545
2000,3143,0,1,3142,277744618.6970234
