decade,n,cor_spearman,ratio_mean,ratio_median
1850,1527,0.7530749235634769,1.698947957571042,1.1875434213243101
1860,1870,0.739464225006754,1.5370336778102789,1.1248209302064498
1870,2132,0.7504012954882308,1.5166096705329442,1.1003974387007764
1880,2390,0.7630306613973616,1.519499486438324,1.1321996657036362
1890,2675,0.795252638323585,1.4630393620684548,1.1368536803711191
1900,2754,0.7969475935492907,1.4693573155019841,1.1648615737769523
1910,2893,0.7960136381636888,1.478083669722277,1.164091562199677
1920,3050,0.8105621430811097,1.4055916125980707,1.1322129807932644
1930,3083,0.827319281203017,1.354233101393641,1.1056213898110834
1940,3083,0.8511727440289849,1.3459785131901711,1.12351897345262
1950,3087,0.8813500155593985,1.1946355463919582,1.029944072467908
1960,3096,0.9096518311866123,1.1330190144817753,1.0016145652391102
1970,3117,0.9392468384228623,1.073733811858305,0.9839257137245698
1980,3123,0.9662837155615984,1.0874435701668863,1.0142125838570515
1990,3129,0.9795733586451811,1.0680221598036261,1.0149345377954857
2000,3132,0.9876104914707263,1.0790315775849548,1.0284588491446691
