"country","iso3","year","births","n_allsci","rate_per_1000_mort","rate_per_1000_deaths","rate_per_100k_births"
"Kosovo","-99",1879,NA,1,NA,NA,NA
"Kosovo","-99",1909,NA,1,NA,NA,NA
"Kosovo","-99",1921,NA,1,NA,NA,NA
"Kosovo","-99",1928,NA,1,NA,NA,NA
"Kosovo","-99",1930,NA,2,NA,NA,NA
"Kosovo","-99",1934,NA,1,NA,NA,NA
"Kosovo","-99",1940,NA,1,NA,NA,NA
"Kosovo","-99",1941,NA,1,NA,NA,NA
"Kosovo","-99",1946,NA,1,NA,NA,NA
"Kosovo","-99",1947,NA,1,NA,NA,NA
"Kosovo","-99",1949,NA,1,NA,NA,NA
"Kosovo","-99",1950,NA,1,NA,NA,NA
"Kosovo","-99",1953,NA,1,NA,NA,NA
"Kosovo","-99",1954,NA,1,NA,NA,NA
"Kosovo","-99",1957,NA,1,NA,NA,NA
"Kosovo","-99",1958,NA,1,NA,NA,NA
"Kosovo","-99",1960,NA,1,NA,NA,NA
"Kosovo","-99",1961,NA,1,NA,NA,NA
"Kosovo","-99",1964,NA,1,NA,NA,NA
"Kosovo","-99",1967,NA,1,NA,NA,NA
"Kosovo","-99",1984,NA,1,NA,NA,NA
"N. Cyprus","-99",1904,NA,1,NA,NA,NA
"N. Cyprus","-99",1908,NA,1,NA,NA,NA
"N. Cyprus","-99",1917,NA,1,NA,NA,NA
"N. Cyprus","-99",1929,NA,1,NA,NA,NA
"N. Cyprus","-99",1930,NA,1,NA,NA,NA
"N. Cyprus","-99",1932,NA,2,NA,NA,NA
"N. Cyprus","-99",1941,NA,1,NA,NA,NA
"N. Cyprus","-99",1942,NA,1,NA,NA,NA
"N. Cyprus","-99",1944,NA,1,NA,NA,NA
"N. Cyprus","-99",1946,NA,1,NA,NA,NA
"N. Cyprus","-99",1947,NA,1,NA,NA,NA
"N. Cyprus","-99",1948,NA,1,NA,NA,NA
"N. Cyprus","-99",1949,NA,1,NA,NA,NA
"N. Cyprus","-99",1950,NA,2,NA,NA,NA
"N. Cyprus","-99",1952,NA,3,NA,NA,NA
"N. Cyprus","-99",1955,NA,1,NA,NA,NA
"N. Cyprus","-99",1965,NA,1,NA,NA,NA
"Somaliland","-99",1923,NA,1,NA,NA,NA
"Somaliland","-99",1976,NA,1,NA,NA,NA
"Somaliland","-99",2003,NA,1,NA,NA,NA
"Afghanistan","AFG",1800,157900,1,0.0119173886617964,0.0119161105815062,0.633312222925903
"Afghanistan","AFG",1865,195700,1,0.00979892603770627,0.00979815794630609,0.510986203372509
"Afghanistan","AFG",1881,214100,1,0.00898141744730153,0.00898472596585804,0.467071461933676
"Afghanistan","AFG",1901,243300,1,0.00792487221143559,0.00792393026941363,0.41101520756268
"Afghanistan","AFG",1926,297500,1,0.00622792977386387,0.00624219725343321,0.336134453781513
"Afghanistan","AFG",1932,320900,1,0.00568666477111174,0.005720823798627,0.311623558741041
"Afghanistan","AFG",1935,332600,1,0.00544191032820161,0.00550357732526142,0.300661455201443
"Afghanistan","AFG",1939,348100,1,0.00512907312519555,0.00521920668058455,0.287273771904625
"Afghanistan","AFG",1940,351900,1,0.0050566598738869,0.00515463917525773,0.284171639670361
"Afghanistan","AFG",1944,367400,2,0.00958033349140884,0.00982318271119843,0.544365813826892
"Afghanistan","AFG",1945,371300,1,0.00472424577416215,0.00484966052376334,0.269323996768112
"Afghanistan","AFG",1946,375200,1,0.00465981053210377,0.00479156684235745,0.266524520255864
