"country","iso3","year","births","n_inventors","rate_per_100k_births"
"Kosovo","-99",1879,NA,1,NA
"Kosovo","-99",1909,NA,1,NA
"Kosovo","-99",1921,NA,1,NA
"Kosovo","-99",1928,NA,1,NA
"Kosovo","-99",1930,NA,2,NA
"Kosovo","-99",1934,NA,1,NA
"Kosovo","-99",1940,NA,1,NA
"Kosovo","-99",1941,NA,1,NA
"Kosovo","-99",1946,NA,1,NA
"Kosovo","-99",1947,NA,1,NA
"Kosovo","-99",1949,NA,1,NA
"Kosovo","-99",1950,NA,1,NA
"Kosovo","-99",1953,NA,1,NA
"Kosovo","-99",1954,NA,1,NA
"Kosovo","-99",1957,NA,1,NA
"Kosovo","-99",1958,NA,1,NA
"Kosovo","-99",1960,NA,1,NA
"Kosovo","-99",1961,NA,1,NA
"Kosovo","-99",1964,NA,1,NA
"Kosovo","-99",1967,NA,1,NA
"Kosovo","-99",1984,NA,1,NA
"N. Cyprus","-99",1904,NA,1,NA
"N. Cyprus","-99",1908,NA,1,NA
"N. Cyprus","-99",1917,NA,1,NA
"N. Cyprus","-99",1929,NA,1,NA
"N. Cyprus","-99",1930,NA,1,NA
"N. Cyprus","-99",1932,NA,2,NA
"N. Cyprus","-99",1941,NA,1,NA
"N. Cyprus","-99",1942,NA,1,NA
"N. Cyprus","-99",1944,NA,1,NA
"N. Cyprus","-99",1946,NA,1,NA
"N. Cyprus","-99",1947,NA,1,NA
"N. Cyprus","-99",1948,NA,1,NA
"N. Cyprus","-99",1949,NA,1,NA
"N. Cyprus","-99",1950,NA,2,NA
"N. Cyprus","-99",1952,NA,3,NA
"N. Cyprus","-99",1955,NA,1,NA
"N. Cyprus","-99",1965,NA,1,NA
"Somaliland","-99",1923,NA,1,NA
"Somaliland","-99",1976,NA,1,NA
"Somaliland","-99",2003,NA,1,NA
"Afghanistan","AFG",1800,157900,1,0.633312222925903
"Afghanistan","AFG",1865,195700,1,0.510986203372509
"Afghanistan","AFG",1881,214100,1,0.467071461933676
"Afghanistan","AFG",1901,243300,1,0.41101520756268
"Afghanistan","AFG",1926,297500,1,0.336134453781513
"Afghanistan","AFG",1932,320900,1,0.311623558741041
"Afghanistan","AFG",1935,332600,1,0.300661455201443
"Afghanistan","AFG",1939,348100,1,0.287273771904625
"Afghanistan","AFG",1940,351900,1,0.284171639670361
"Afghanistan","AFG",1944,367400,2,0.544365813826892
"Afghanistan","AFG",1945,371300,1,0.269323996768112
"Afghanistan","AFG",1946,375200,1,0.266524520255864
"Afghanistan","AFG",1948,382900,3,0.783494384956908
"Afghanistan","AFG",1949,386800,2,0.517063081695967
"Afghanistan","AFG",1950,390700,1,0.255950857435372
"Afghanistan","AFG",1951,393600,1,0.254065040650407
"Afghanistan","AFG",1952,399600,1,0.25025025025025
"Afghanistan","AFG",1953,406000,1,0.246305418719212
"Afghanistan","AFG",1955,420100,1,0.238038562247084
"Afghanistan","AFG",1958,444100,1,0.22517451024544
"Afghanistan","AFG",1959,452900,2,0.441598586884522
"Afghanistan","AFG",1961,471800,1,0.211954217888936
"Afghanistan","AFG",1963,492400,1,0.203086921202275
"Afghanistan","AFG",1964,503300,1,0.198688654877806
"Afghanistan","AFG",1965,514600,1,0.194325689856199
"Afghanistan","AFG",1966,526500,1,0.189933523266857
"Afghanistan","AFG",1968,551700,2,0.362515860068878
"Afghanistan","AFG",1969,564700,1,0.177085177970604
"Afghanistan","AFG",1971,591200,1,0.16914749661705
"Afghanistan","AFG",1972,604500,4,0.661703887510339
"Afghanistan","AFG",1973,617400,1,0.161969549724652
"Afghanistan","AFG",1976,646900,1,0.154583397743082
"Afghanistan","AFG",1977,651400,1,0.153515505066012
"Afghanistan","AFG",1979,651000,1,0.153609831029186
"Afghanistan","AFG",1980,646000,1,0.154798761609907
"Afghanistan","AFG",1982,627000,1,0.159489633173844
"Afghanistan","AFG",1986,590000,1,0.169491525423729
"Angola","AGO",1907,147600,2,1.3550135501355
"Angola","AGO",1922,165900,1,0.602772754671489
"Angola","AGO",1923,167100,1,0.598444045481747
"Angola","AGO",1926,170800,1,0.585480093676815
"Angola","AGO",1939,209700,2,0.953743443013829
"Angola","AGO",1943,223900,1,0.446627958910228
"Angola","AGO",1951,251000,1,0.398406374501992
"Angola","AGO",1954,263400,2,0.759301442672741
"Angola","AGO",1956,271500,1,0.368324125230203
"Angola","AGO",1959,283200,2,0.706214689265537
"Angola","AGO",1960,287000,1,0.348432055749129
"Angola","AGO",1966,311700,1,0.320821302534488
"Angola","AGO",1967,316800,1,0.315656565656566
"Angola","AGO",1975,379800,1,0.263296471827278
"Albania","ALB",1811,13980,1,7.15307582260372
"Albania","ALB",1818,14330,1,6.97836706210747
"Albania","ALB",1854,17220,1,5.80720092915215
"Albania","ALB",1859,18020,1,5.54938956714761
"Albania","ALB",1864,18920,1,5.28541226215645
"Albania","ALB",1872,20470,2,9.77039570102589
"Albania","ALB",1889,24160,2,8.27814569536424
"Albania","ALB",1892,24900,1,4.01606425702811
"Albania","ALB",1896,25930,1,3.85653682992673
"Albania","ALB",1899,26720,1,3.74251497005988
"Albania","ALB",1900,26980,2,7.41289844329133
"Albania","ALB",1901,27250,1,3.6697247706422
"Albania","ALB",1909,29380,1,3.40367597004765
"Albania","ALB",1910,29650,2,6.74536256323777
"Albania","ALB",1912,30220,1,3.30906684315023
"Albania","ALB",1913,30470,1,3.28191663931736
"Albania","ALB",1914,30690,3,9.77517106549365
"Albania","ALB",1915,30860,2,6.48088139987038
"Albania","ALB",1916,31040,1,3.22164948453608
"Albania","ALB",1919,31550,1,3.16957210776545
"Albania","ALB",1920,31720,1,3.15258511979823
"Albania","ALB",1922,32060,1,3.11915159076731
"Albania","ALB",1925,32560,2,6.14250614250614
"Albania","ALB",1926,31600,1,3.16455696202532
"Albania","ALB",1929,28700,2,6.96864111498258
"Albania","ALB",1934,33300,1,3.003003003003
"Albania","ALB",1936,35140,3,8.53727945361411
"Albania","ALB",1939,37900,1,2.63852242744063
"Albania","ALB",1941,39740,1,2.51635631605435
"Albania","ALB",1942,40660,1,2.45941957697983
"Albania","ALB",1944,42500,1,2.35294117647059
"Albania","ALB",1948,46180,3,6.4963187527068
"Albania","ALB",1955,58670,2,3.40889722174876
"Albania","ALB",1957,62620,2,3.19386777387416
"Albania","ALB",1958,64380,1,1.55327741534638
"Albania","ALB",1962,68890,1,1.45158949049209
"Albania","ALB",1969,68480,1,1.46028037383178
"Albania","ALB",1981,73230,1,1.36556056261095
"United Arab Emirates","ARE",1981,31780,2,6.29326620516048
"United Arab Emirates","ARE",1984,39070,1,2.55950857435372
"United Arab Emirates","ARE",1987,44050,1,2.27014755959137
"United Arab Emirates","ARE",1990,46680,2,4.28449014567266
"Argentina","ARG",1800,25030,1,3.99520575309628
"Argentina","ARG",1801,25030,1,3.99520575309628
"Argentina","ARG",1804,25030,1,3.99520575309628
"Argentina","ARG",1807,25030,1,3.99520575309628
"Argentina","ARG",1811,25060,1,3.99042298483639
"Argentina","ARG",1815,25480,1,3.92464678178964
"Argentina","ARG",1818,26140,1,3.82555470543229
"Argentina","ARG",1820,26750,1,3.73831775700935
"Argentina","ARG",1821,27110,2,7.37735153080044
"Argentina","ARG",1823,27950,1,3.5778175313059
"Argentina","ARG",1826,29500,1,3.38983050847458
"Argentina","ARG",1828,30750,2,6.50406504065041
"Argentina","ARG",1830,32180,1,3.10752019888129
"Argentina","ARG",1831,32970,1,3.03306035790112
"Argentina","ARG",1833,34600,3,8.67052023121387
"Argentina","ARG",1834,35440,2,5.64334085778781
"Argentina","ARG",1837,38100,2,5.249343832021
"Argentina","ARG",1838,39020,1,2.56278831368529
"Argentina","ARG",1839,39980,1,2.50125062531266
"Argentina","ARG",1840,40950,2,4.88400488400488
"Argentina","ARG",1843,44020,1,2.27169468423444
"Argentina","ARG",1844,45100,2,4.43458980044346
"Argentina","ARG",1846,47340,1,2.11237853823405
"Argentina","ARG",1847,48500,2,4.12371134020619
"Argentina","ARG",1848,49700,2,4.02414486921529
"Argentina","ARG",1849,50920,5,9.81932443047918
"Argentina","ARG",1850,52170,1,1.91681042744873
"Argentina","ARG",1851,53460,1,1.87055742611298
"Argentina","ARG",1852,54780,5,9.12741876597298
"Argentina","ARG",1853,56130,1,1.78157847853198
"Argentina","ARG",1854,57520,4,6.95410292072323
"Argentina","ARG",1855,58940,2,3.39328130302002
"Argentina","ARG",1856,60400,4,6.62251655629139
"Argentina","ARG",1857,61890,5,8.07884957182097
"Argentina","ARG",1859,65000,1,1.53846153846154
"Argentina","ARG",1860,66610,2,3.00255216934394
"Argentina","ARG",1861,68300,5,7.32064421669107
"Argentina","ARG",1862,70050,7,9.99286224125625
"Argentina","ARG",1863,71880,2,2.78241513633834
"Argentina","ARG",1864,73790,1,1.35519718118986
"Argentina","ARG",1865,75780,4,5.27843758247559
"Argentina","ARG",1866,77850,2,2.56904303147078
"Argentina","ARG",1867,80000,2,2.5
"Argentina","ARG",1868,82250,2,2.43161094224924
"Argentina","ARG",1869,84590,2,2.36434566733656
"Argentina","ARG",1870,86200,7,8.12064965197216
"Argentina","ARG",1871,87740,1,1.13973102347846
"Argentina","ARG",1872,96600,5,5.175983436853
"Argentina","ARG",1873,99000,2,2.02020202020202
"Argentina","ARG",1874,101900,2,1.96270853778214
"Argentina","ARG",1875,105000,2,1.9047619047619
"Argentina","ARG",1876,108200,3,2.77264325323475
"Argentina","ARG",1877,111200,3,2.69784172661871
"Argentina","ARG",1878,114600,2,1.74520069808028
"Argentina","ARG",1879,118300,4,3.38123415046492
"Argentina","ARG",1880,122000,8,6.55737704918033
"Argentina","ARG",1881,125500,4,3.18725099601594
"Argentina","ARG",1882,129500,5,3.86100386100386
"Argentina","ARG",1883,132000,5,3.78787878787879
"Argentina","ARG",1884,134200,4,2.9806259314456
"Argentina","ARG",1885,136700,4,2.92611558156547
"Argentina","ARG",1886,139200,9,6.46551724137931
"Argentina","ARG",1887,141500,9,6.36042402826855
"Argentina","ARG",1888,145000,4,2.75862068965517
"Argentina","ARG",1889,148500,4,2.69360269360269
"Argentina","ARG",1890,152200,4,2.6281208935611
"Argentina","ARG",1891,155900,7,4.49005772931366
"Argentina","ARG",1892,159700,2,1.25234815278647
"Argentina","ARG",1893,165400,5,3.0229746070133
"Argentina","ARG",1894,171300,4,2.33508464681845
"Argentina","ARG",1895,177400,6,3.38218714768884
"Argentina","ARG",1896,183900,6,3.2626427406199
"Argentina","ARG",1897,190700,5,2.62191924488726
"Argentina","ARG",1898,197200,12,6.08519269776876
"Argentina","ARG",1899,204000,1,0.490196078431373
"Argentina","ARG",1900,211100,7,3.31596399810516
"Argentina","ARG",1901,218600,5,2.28728270814273
"Argentina","ARG",1902,225700,9,3.98759415152858
"Argentina","ARG",1903,231800,6,2.58843830888697
"Argentina","ARG",1904,238200,4,1.67926112510495
"Argentina","ARG",1905,244800,6,2.45098039215686
"Argentina","ARG",1906,251600,8,3.17965023847377
"Argentina","ARG",1907,257700,5,1.94024058983314
"Argentina","ARG",1908,263900,5,1.89465706707086
"Argentina","ARG",1909,270200,5,1.85048112509252
"Argentina","ARG",1910,276600,11,3.97686189443239
"Argentina","ARG",1911,282800,7,2.47524752475248
"Argentina","ARG",1912,289300,7,2.41963359834082
"Argentina","ARG",1913,296200,7,2.36326806212019
"Argentina","ARG",1914,301800,7,2.3194168323393
"Argentina","ARG",1915,305500,14,4.58265139116203
"Argentina","ARG",1916,308000,5,1.62337662337662
"Argentina","ARG",1917,309900,8,2.58147789609551
"Argentina","ARG",1918,311500,11,3.53130016051364
"Argentina","ARG",1919,313600,15,4.78316326530612
"Argentina","ARG",1920,316500,10,3.15955766192733
"Argentina","ARG",1921,320700,9,2.80636108512629
"Argentina","ARG",1922,326500,12,3.67534456355283
