state,state_abbr,school,city,county_name,founding_year_used,roots_year,continuity_status,lineage_note,school_type,elite_signal,confidence,admission_model_current_prelim,access_model_current_prelim,access_model_historical_prelim,admissions_access_coding_status,county_geoid,lat_county,lon_county,admission_selectivity_current,test_based_admissions_current,poor_access_current,poor_access_historical,historical_access_note,historical_access_evidence_level,current_admissions_source_url,current_access_source_url,historical_access_source_url,lineage_risk,comparability_class,sample_role,include_in_core_sample,include_in_expanded_sample,proper_elite_school,elite_tier,local_access_relevance,revision_note,crit_secondary_school,crit_in_frame_1800_1940,crit_active_20yr,crit_first_decade_size_ge_50,crit_tuition_free_historical,crit_selective_historical,crit_not_special_model,crit_high_access_strict,historically_unclear,historically_unclear_note,review_batch,review_theme,review_priority,review_status
Alabama,AL,St. Paul's School,Mobile,Mobile County,1892,1892,continuous,Continuous school from 1892,Private college-prep day school,Longstanding elite independent school in Alabama,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,01097,30.7842951939351,-88.2084789345278,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Arizona,AZ,Brophy College Preparatory,Phoenix,Maricopa County,1928,1928,continuous,Continuous school from 1928,Private Jesuit college-prep school,Selective flagship Catholic prep school in Arizona,high,exam_based,private_need_aid,private_tuition_dominant,source_checked_current_rule_based_historical,04013,33.3480249747642,-112.493431623511,exam_plus,yes,medium,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,https://www.brophyprep.org/admissions/apply/entrance-exam,https://www.brophyprep.org/admissions/tuition-and-financial-assistance,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Arkansas,AR,Little Rock Central High School,Little Rock,Pulaski County,1927,1927,continuous,Current campus opened in 1927,Public academic high school,Historically prominent flagship public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,05119,34.770510820706,-92.3131973700845,open_access,no,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://www.lrsd.org/article/2516610,https://www.lrsd.org/page/student-registration/,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,no,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
California,CA,Lowell High School,San Francisco,San Francisco County,1856,1856,continuous_renamed,Early names preceded the Lowell name adopted in 1894,Public merit high school,Historic selective public high school,high,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,06075,37.7521529164807,-122.438566149011,grades_test_combo,yes,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://www.sfusd.edu/schools/enroll/apply/applying-lowell-high-school,https://www.sfusd.edu/schools/enroll/apply/applying-lowell-high-school,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,yes,yes,yes,no,,unassigned,No targeted revision batch yet,low,first_pass_only
California,CA,The Thacher School,Ojai,Ventura County,1889,1889,continuous,Continuous school from 1889,Private boarding school,Historic elite California boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,06111,34.4434699648728,-119.090848964433,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,no,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
California,CA,Cate School,Carpinteria,Santa Barbara County,1910,1910,continuous_renamed,Miramar School became Santa Barbara School and then Cate,Private boarding and day school,Historic elite California boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,06083,34.6528210404452,-120.018758142552,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,no,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
California,CA,The Webb School of California,Claremont,Los Angeles County,1922,1922,continuous,Continuous school from 1922,Private boarding and day school,Historic selective Southern California boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,06037,34.3071649595637,-118.228514331765,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,no,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Colorado,CO,Colorado Academy,Denver,Jefferson County,1906,1906,continuous_renamed,Founded as Hill School for Boys; later Colorado Military School and Colorado Academy,Private day college-prep school,Longstanding elite independent school in Colorado,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,08059,39.5857217189437,-105.251685440888,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Colorado,CO,Kent Denver School,Englewood,Arapahoe County,1926,1926,later_merger_use_roots,Use Kent School for Boys roots; current Kent Denver is a later merger,Private day school,Merged lineage of elite Denver prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,08005,39.6509304353405,-104.339043839125,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,core_with_caution,yes,yes,yes,core,low,Later merger using predecessor roots; keep out of the core treatment sample unless lineage is explicitly modeled.,yes,yes,yes,unknown,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Colorado,CO,Fountain Valley School of Colorado,Colorado Springs,El Paso County,1930,1930,continuous,Continuous school from 1930,Private boarding and day school,Historic selective boarding school in Colorado,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,08041,38.8326350203482,-104.525058352332,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
