state,state_abbr,identified_school_count,core_school_count,robustness_only_count,coverage_status,notes
Alabama,AL,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Alaska,AK,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
Arizona,AZ,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Arkansas,AR,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
California,CA,4,4,0,identified_1plus,4 core and 0 robustness-only schools identified
Colorado,CO,3,3,0,identified_1plus,3 core and 0 robustness-only schools identified
Connecticut,CT,6,5,1,identified_1plus,5 core and 1 robustness-only schools identified
Delaware,DE,3,3,0,identified_1plus,3 core and 0 robustness-only schools identified
District of Columbia,DC,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Florida,FL,1,0,1,identified_1plus,0 core and 1 robustness-only schools identified
Georgia,GA,3,2,1,identified_1plus,2 core and 1 robustness-only schools identified
Hawaii,HI,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Idaho,ID,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
Illinois,IL,4,3,1,identified_1plus,3 core and 1 robustness-only schools identified
Indiana,IN,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Iowa,IA,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Kansas,KS,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Kentucky,KY,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Louisiana,LA,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Maine,ME,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Maryland,MD,4,4,0,identified_1plus,4 core and 0 robustness-only schools identified
Massachusetts,MA,9,9,0,identified_1plus,9 core and 0 robustness-only schools identified
Michigan,MI,3,3,0,identified_1plus,3 core and 0 robustness-only schools identified
Minnesota,MN,3,1,2,identified_1plus,1 core and 2 robustness-only schools identified
Mississippi,MS,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
Missouri,MO,4,3,1,identified_1plus,3 core and 1 robustness-only schools identified
Montana,MT,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
Nebraska,NE,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Nevada,NV,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
New Hampshire,NH,3,3,0,identified_1plus,3 core and 0 robustness-only schools identified
New Jersey,NJ,5,5,0,identified_1plus,5 core and 0 robustness-only schools identified
New Mexico,NM,1,0,1,identified_1plus,0 core and 1 robustness-only schools identified
New York,NY,12,12,0,identified_1plus,12 core and 0 robustness-only schools identified
North Carolina,NC,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
North Dakota,ND,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
Ohio,OH,5,5,0,identified_1plus,5 core and 0 robustness-only schools identified
Oklahoma,OK,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Oregon,OR,2,1,1,identified_1plus,1 core and 1 robustness-only schools identified
Pennsylvania,PA,5,5,0,identified_1plus,5 core and 0 robustness-only schools identified
Rhode Island,RI,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
South Carolina,SC,1,0,1,identified_1plus,0 core and 1 robustness-only schools identified
South Dakota,SD,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
Tennessee,TN,4,4,0,identified_1plus,4 core and 0 robustness-only schools identified
Texas,TX,3,3,0,identified_1plus,3 core and 0 robustness-only schools identified
Utah,UT,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Vermont,VT,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
Virginia,VA,5,5,0,identified_1plus,5 core and 0 robustness-only schools identified
Washington,WA,2,2,0,identified_1plus,2 core and 0 robustness-only schools identified
West Virginia,WV,1,1,0,identified_1plus,1 core and 0 robustness-only schools identified
Wisconsin,WI,3,2,1,identified_1plus,2 core and 1 robustness-only schools identified
Wyoming,WY,0,0,0,no_high_confidence_candidate_in_this_pass,No high-confidence school identified in this national first pass
