"country","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2013","2015"
"Afghanistan",0.0119161105815062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00979815794630609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898472596585804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792393026941363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624219725343321,0,0,0,0,0,0.005720823798627,0,0,0.00550357732526142,0,0,0,0.00521920668058455,0.00515463917525773,0,0,0,0.00982318271119843,0.00484966052376334,0.00479156684235745,0,0.0140318054256314,0.00924214417744917,0.0045662100456621,0.0045045045045045,0.00436109899694723,0.00422119037568594,0,0.00395413206801107,0,0,0.00359712230215827,0.00698812019566737,0,0.00317965023847377,0,0.00298329355608592,0.00289017341040462,0.00280269058295964,0.00271886895051659,0,0.00511378164152391,0.00248323814253787,0,0.00234686693264492,0.00912408759124088,0.00221926320461607,0,0,0.00208333333333333,0.0020631318341242,0,0.00204081632653061,0.00203376042302217,0,0.00205465379083624,0,0,0,0.00208463623097769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0.114508187335394,0,0,0,0,0,0,0.111681929863748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092954080684142,0,0,0,0,0.088809946714032,0,0,0,0,0.0846023688663283,0,0,0,0,0,0,0,0.156384392837595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132511760418737,0,0,0.064283877603497,0,0,0,0.0617169659939517,0,0,0.0598444045481747,0.118483412322275,0.0586166471277843,0,0,0,0,0,0,0,0.0539665407447383,0.106837606837607,0,0.0522739153162572,0.05175983436853,0.153925089789636,0.101936799184506,0.0506072874493927,0,0,0.0495785820525533,0.0492368291482029,0,0.0485908649173955,0,0,0.0952834683182468,0.0490196078431373,0,0,0.10752688172043,0,0,0,0,0.0428761308579514,0,0.11860051393556,0,0,0.0353419332037462,0,0.0329359067255122,0.0318369945877109,0,0.0298222593343672,0,0,0,0.0792141951837769,0,0,0,0,0,0,0.0400352310032829,0,0.0372397869884184,0.0180476095941093,0,0,0,0.0166464135302049,0,0,0,0,0,0,0.0164130845109721,0,0,0,0,0,0,0,0,0,0,0,0.0147143214490664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0.0149678191887442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121624908781318,0,0,0,0,0.0117647058823529,0.0116808784020558,0.0116009280742459,0,0,0.0227143668370244,0.0112828613336342,0,0,0,0,0,0.0216426793637052,0.0107480653482373,0,0,0,0.0208637596494888,0,0.0102774922918808,0.0203769740193581,0,0,0,0,0,0,0,0,0.00946521533364884,0,0,0,0.00913909705721075,0.00905961224859576,0,0.00890392663164456,0,0,0,0.0171880371261602,0,0,0,0.0248756218905473,0.00821692686935086,0,0.00807102502017756,0,0.00792393026941363,0,0,0,0.015255530129672,0,0.0224382946896036,0.0148148148148148,0.0146520146520147,0.0145032632342277,0.00717875089734386,0.00710227272727273,0.0210674157303371,0.00694927032661571,0.00687757909215956,0.0135869565217391,0.0134048257372654,0.00660501981505945,0,0.0128452151573539,0.0253164556962025,0.0187149095446039,0.00615384615384615,0.0242571255306246,0.0179425837320574,0,0.00577367205542725,0.0056657223796034,0.0166204986149584,0.0108108108108108,0.0105764145954521,0.00516262261228704,0.0252270433905146,0.00986193293885602,0.0192400192400192,0.0188235294117647,0.0183823529411765,0.00897666068222621,0.0131348511383538,0.0128424657534247,0.00836820083682008,0.00409332787556283,0.0240288346015218,0.0117647058823529,0.0154440154440154,0.0114025085518814,0.0112317484088356,0.00724112961622013,0.0175254118471784,0.00339789330615019,0.0329706561160567,0.0256163944924752,0.0217932752179328,0.012187690432663,0.00887049083382614,0.0229489386115892,0.00825536598789213,0.00539665407447383,0.0131926121372032,0.0102459016393443,0.0124007936507937,0.00960845544078789,0.00935234977788169,0,0.00672796591163938,0.0066386368665634,0.00437062937062937,0,0.00212179079142797,0.00207641196013289,0.00404694455685957,0,0,0,0.00178826895565093,0,0,0.00323676970383557,0.00156690692572861,0,0,0.00143245953301819,0,0,0,0,0,0,0,0.00246536166855678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260688216892596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112334306897326,0.0111296605453534,0,0,0.0108178277801817,0,0,0,0,0,0,0,0,0,0,0,0,0.017154129856763,0,0,0,0.00786410821012897,0,0,0,0,0,0,0,0.0066577896138482,0,0,0.01230012300123,0,0.00583022388059702,0,0,0.0107683196037258,0.00524906829037846,0,0,0,0,0,0.00451875282422051,0.00439869798539632,0,0,0,0,0,0,0,0.00350042005040605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.0668449197860963,0.0668449197860963,0,0,0.0668449197860963,0,0,0.0668449197860963,0,0,0,0.0667556742323097,0,0,0,0.0656598818122127,0,0,0.0639795265515035,0,0.0625390869293308,0.123380629241209,0,0.0598444045481747,0,0,0.0567214974475326,0,0.108813928182807,0,0.051975051975052,0.0507356671740233,0,0.14499758337361,0.0943841434638981,0,0,0.0877963125548727,0.0428816466552316,0.0418410041841004,0.0816993464052288,0,0,0.0380083618396047,0.0741839762611276,0,0.0353356890459364,0.0689893066574681,0.0673174015483002,0.164257555847569,0.0320615581917281,0.0312891113892365,0.152671755725191,0.029806259314456,0.116312881651643,0.0567536889897843,0.110772639158128,0.135135135135135,0,0.0257334019557386,0.0502260170768458,0.122458976242959,0.167144221585482,0.0465441005352572,0.022670596236681,0.0883002207505519,0.0429737859905458,0.0418235048097031,0.0406752084604434,0.0395491398062092,0.135843198137008,0.0190657769304099,0.0865800865800866,0.0337952010814464,0.0328407224958949,0.0318674314850223,0.0463821892393321,0.0451195668521582,0.0292611558156547,0.0566732785491641,0.109935412944895,0.0535546927299505,0.0650026001040042,0.0638977635782748,0.0503778337531486,0.0495724377246251,0.108853410740203,0.106395555030145,0.0459453250631748,0.0445930880713489,0.0432338953739732,0.0740270727580372,0.0207361327112494,0.0501504513540622,0.0388991539434017,0.0564599604780277,0.0536672629695885,0.0425206225019134,0.097323600973236,0.00773455023590378,0.05163765122455,0.0352211890673429,0.0601805416248746,0.0383313102919568,0.0244244977712646,0.0350508236943568,0.0447452318362325,0.0268903947509949,0.0258825965420851,0.0249351685617395,0.0528947874591268,0.0325173038509778,0.0314098537198241,0.0297404087181884,0.0288469463446798,0.0568643379366369,0.0201434211586496,0.032332376833852,0.0452935847813555,0.0607656471541422,0.0394819962097284,0.0341854370038364,0.0443639321231839,0.0398377517021585,0.0537249283667622,0.0391500871979215,0.0453641344174198,0.0454211942280144,0.0370594973384543,0.0562243683026855,0.0547468762076517,0.0445845673704659,0.0311633269967902,0.036374658987572,0.0367365681922547,0.0463291842974951,0.0209788114004855,0.0265714032653302,0.0237805059302637,0.0515227845202656,0.0566540139368874,0.0444197667962243,0.0523315063210951,0.0377338148886852,0.0588203839366879,0.042450452362633,0.0284679089026915,0.0284061563888028,0.0352210118493547,0.047188555533479,0.03451336160142,0.0489212856513869,0.0265117736376564,0.0356480821331812,0.0280912027716653,0.0325732899022801,0.0342959050689348,0.03926641105003,0.0226444147551007,0.0380075120729744,0.022096517588828,0.0415264239192202,0.0172995415621486,0.0256777865747973,0.0296290025607924,0.0188853449723015,0.0207921821395155,0.0205288224667433,0.018194315287268,0.0140935813803656,0.0177012036818504,0.00955328824181283,0.0110813556191707,0.00711769102103278,0.0119830183511367,0.00329935002804448,0.00639447517345014,0.00311934618503962,0.00920344208734067,0.0045578158946233,0,0.0015148760831364,0.00303329036171988,0,0.00151128171802506,0,0,0.00590868133004417,0,0,0,0,0,0.00142722575857049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540979172301866,0,0.0530222693531283,0.0525210084033613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04510599909788,0,0,0,0,0,0.0424448217317487,0.0420344682639765,0,0,0,0,0,0,0,0,0,0.0379794910748196,0.0376222723852521,0,0.0368731563421829,0,0.0361532899493854,0,0,0,0,0,0,0,0,0.0330250990752972,0.0327439423706614,0,0,0.0319081046585833,0,0,0.0307976593778873,0.0303859009419629,0,0.0295945546019532,0.0292056074766355,0.0576535024502739,0.0569151963574274,0.0561955605507165,0.0277392510402219,0.0273897562311695,0.0270416441319632,0,0,0,0,0.0508388408744281,0.0251067034898318,0,0.0245098039215686,0,0.0478583393156257,0,0.0233644859813084,0,0.0232126276694522,0.0233426704014939,0.0705218617771509,0.0946297610598533,0.0714285714285714,0.0475963826749167,0.0475963826749167,0.0238151940938319,0,0,0.119654437983105,0.04798809895146,0,0.0483068450799478,0,0,0.0244732140672034,0,0.024738391509784,0.0746565797332272,0.0500876533934385,0.100847115772489,0.0253897323922206,0.10231225700839,0.128882587962366,0.0249308169828725,0.0467606555843913,0.021988170364344,0,0.0391596342490161,0.0185590735310493,0.0706202221005985,0.0168727959910237,0.0162408848034041,0,0.0310082326857781,0.0463298997729835,0.0311706123466795,0.0318608318863206,0.0328434189999179,0.0509961242945536,0,0,0,0,0.0185181755893409,0.0183086471740603,0,0,0.0175466301696759,0.0175140550291609,0.017061352624036,0,0,0,0.0303140535952468,0,0,0,0,0,0,0,0,0.0141995030173944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.208138203767301,0,0,0,0,0,0,0,0,0,0,0,0.11102475852115,0,0,0,0,0,0,0,0.115874855156431,0,0,0,0.117123448114312,0,0,0.235100505466087,0,0,0.116645281698355,0,0,0.112905046855594,0.222940586333742,0,0,0.106757766627522,0.104865771812081,0,0.200100050025012,0.195388823759281,0.189053785802061,0,0.174049255939431,0.082815734989648,0,0,0.0701951424961393,0,0.299580587177951,0.0558035714285714,0.168823860438942,0.149700598802395,0.048828125,0.253914515446466,0.370522848909016,0.0720980533525595,0.202702702702703,0.191570881226054,0.153421294875729,0.112994350282486,0.0762001524003048,0.146771037181996,0.133214920071048,0.148777895855473,0.106202209005947,0.119071244294503,0.0754147812971342,0.0565717518385819,0.0541418516513265,0.141093474426808,0.14521691777092,0.10458427749695,0.0707714083510262,0.0912242291552636,0.0677277345072807,0.0867302688638335,0.117864960431049,0.0778937529210157,0.107460853546208,0.133828996282528,0.0615006150061501,0.185370027092542,0.1226826608506,0.158856235107228,0.09000900090009,0.096665055582407,0.129198966408269,0.109104133834404,0.0662544169611307,0.0889580785055043,0.108861310690181,0.134213175260038,0.0682205798749289,0.123401391070227,0.0849927149101506,0.0589483612355577,0.152129817444219,0.108866577960566,0.184034966643662,0.103305785123967,0.0928936367858802,0.182815356489945,0.0433181719731427,0.0644814615797958,0.0939751487939856,0.132517838939857,0.1102867455384,0.0968054211035818,0.123445066945209,0.0808044532231999,0.108234118724503,0.0657786548265088,0.0728450020234723,0.0985383478403679,0.134171907756813,0.140242041264158,0.0858663918942126,0.0904240889773036,0.0811424862057773,0.12045290291496,0.109259765091505,0.0562836696952641,0.160217896339021,0.0947044432167942,0.0725058004640371,0.128995847946144,0.0802645519632709,0.0996719132854354,0.210388328302894,0.0705976483138928,0.122866160355698,0.12799662691242,0.0741982875035244,0.123132193274085,0.106859678993524,0.0695415128060696,0.102398864055268,0.154223718266794,0.131721067467531,0.175206354150444,0.140199720875101,0.156469056679351,0.121970556307707,0.113588808513182,0.123637048724772,0.127137499205391,0.0965470240799637,0.0613712570507206,0.137490306933361,0.129553956523851,0.0990796026386463,0.0911226308115989,0.0887871672947537,0.038583410098243,0.066285995663002,0.0559112129937659,0.0551929684158238,0.0818747498271533,0.0585519648688211,0.0714355874237648,0.0752851980443563,0.0439272740051571,0.0392189331578649,0.0302347077167613,0.0256253656953229,0.0295249021460386,0.03743557960676,0.0205118107006014,0.0202796153362563,0.0201647053129966,0.0121201347758987,0.0122260349338572,0.0331239622883689,0.0211243208530846,0.0301924553367321,0.00877527828601265,0.0221848530697181,0.0178064263392658,0.0177356850851756,0.00878418144605195,0.00433976921107336,0,0.00423554725388294,0.0125647608716593,0,0.0040945849114546,0,0,0,0,0,0.00390304828070723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",0.0987306064880113,0.0412938747419133,0.0805910006715917,0.0787504921905762,0.0642013353877761,0.0251477429900666,0.0493035868359423,0.12591286829514,0.0866551126516465,0.0361794500723589,0.096688421561518,0.0485672656629432,0.059580552907531,0.035953978906999,0.0495662949194548,0.0598587333892015,0.093250961650542,0.0583566760037348,0.0699626865671642,0.130285443562715,0.034965034965035,0.0698812019566737,0.0598086124401914,0.0574910888812234,0.0584863726751667,0.0825374366230397,0.0935016362786349,0.0450146297546703,0.0910746812386157,0.0329779048037815,0.0636699350566662,0.124567474048443,0.128221566867547,0.0801282051282051,0.109634096203919,0.115030674846626,0.0739644970414201,0.141188550892055,0.0985100357098879,0.14030612244898,0.0862387581618825,0.112303468929374,0.146448620942153,0.100959111559818,0.139130434782609,0.144700349692512,0.109104133834404,0.15527950310559,0.212339270968503,0.104626830969542,0.188879707236454,0.171781951442968,0.23879918125995,0.184782608695652,0.134605971610377,0.222002960039467,0.0993926007730536,0.20733304233959,0.178651183564091,0.190647078613884,0.159676389184586,0.240577385725742,0.198347107438017,0.169414953693246,0.242397531952402,0.326950023353573,0.274922304566101,0.166982077257041,0.208653634965957,0.16210958608019,0.166833500166833,0.320406584907745,0.201184754666369,0.312644742936545,0.307398770404918,0.30981411153308,0.294406280667321,0.323827431317246,0.34446764091858,0.240192153722978,0.314976630766104,0.215163934426229,0.473738414006179,0.306968177632252,0.285292670929661,0.335093419983753,0.316800316800317,0.252231276678308,0.216770125135481,0.244728915662651,0.218386023294509,0.336134453781513,0.230668939925785,0.301314828341855,0.286779466590192,0.308362053328496,0.27957365018347,0.244541484716157,0.35799522673031,0.341581271348829,0.333361825797077,0.335436466735884,0.393384714193963,0.358662106931354,0.306921896454244,0.325991189427313,0.258272800645682,0.359892869099431,0.295736465949232,0.311421597508627,0.327385824193812,0.321313816494109,0.282744282744283,0.381070542360865,0.272647317502199,0.255128074293295,0.220308431804526,0.280461202866937,0.203550831165894,0.377568017767907,0.401679751688881,0.399396467560131,0.443695092732274,0.431946403385049,0.520098730606488,0.370336916267726,0.476932061514503,0.492455993294216,0.589970501474926,0.453710705412121,0.340896985192287,0.385480244137488,0.271179086668836,0.361663652802893,0.330843116328709,0.327011118378025,0.347033944257673,0.381263616557734,0.364337762537505,0.713145290047898,0.881246641590543,1.00952605973387,1.05779716466739,0.753713145643981,1.01216877061299,0.651112316874661,0.716805097280692,0.747367229079379,0.821535483580544,0.620186506996831,0.71820538429599,0.491438056963131,0.435702726254201,0.55733593423436,0.477459153369429,0.433931604992983,0.447687693065318,0.452307638780161,0.431771618212296,0.321848566123375,0.387578121215057,0.388278736588535,0.390573127006569,0.324999419643894,0.277728489542751,0.333155134075572,0.243152511530135,0.24805754935145,0.23023097099912,0.238202591303904,0.194695434392063,0.2680345672166,0.212663122281295,0.181900864029104,0.242235305269144,0.109217999126256,0.17974700608893,0.091669531339521,0.0927611516296975,0.0815242709400913,0.186137415947323,0.0463698225195043,0.0231133710851728,0.0230944215424764,0.034714588227126,0.023227185097438,0.0116446970049839,0,0.0115711277221078,0.0114684159823845,0,0.0112487204580479,0,0.0112141567514831,0.0113009673628063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0.0329380764163373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299850074962519,0,0,0,0,0,0,0,0,0.0547195622435021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229832222477591,0.0227479526842584,0,0,0,0,0.0216216216216216,0,0,0.0209775540172016,0,0,0,0,0,0,0.0195427008012507,0,0,0,0,0.0185804533630621,0,0,0.018034265103697,0.0357079093019104,0.0176772140710624,0,0.0173280194073817,0.017149717029669,0.0169836956521739,0.0168152009416513,0,0.016479894528675,0,0,0.0159897665494084,0,0,0.0155159038013964,0,0.0152091254752852,0.0151103052281656,0,0,0.0148148148148148,0.0147188695908154,0,0.0144300144300144,0,0.0141482739105829,0.0420698359276399,0.0416435313714603,0.0549677064724474,0.0136239782016349,0.0269796303790638,0.0400801603206413,0.0397456279809221,0.0524865503214801,0.0129971406290616,0.025783163594173,0.0127730233746328,0.0126550240445457,0.0125391849529781,0.0124269914253759,0.0123152709359606,0.0122219506233195,0.0484613520717228,0.0360273808094152,0.0357185379211811,0.0472143531633617,0.0234082397003745,0.0116455106556423,0.0347624565469293,0.0115660421003932,0.0575440211761998,0.0114324911398194,0.0226423638627873,0.10081774392293,0.0221704910763773,0.021944261575598,0.0217273221075502,0.0215401184706516,0.0426666666666667,0.0211349466342597,0.031413612565445,0.0207749039160694,0.0411861614497529,0.0306216188629172,0.0202429149797571,0.0100371374084111,0.0298983456248754,0.0296589223924864,0.0490436488474743,0.019466614755694,0.00966930961129375,0.0287935502447452,0.0283822138126774,0.0366871503255985,0.0355113636363636,0.0256783360438244,0.00822368421052632,0.0236854571293226,0.0302732157723454,0.058076225045372,0.0209599664640537,0.0135034771453649,0.0131570291428196,0.0129207313133923,0.0192381685263563,0.00642549636959455,0.012992074834351,0.0132257637878587,0,0.0207397165572071,0.014113330040223,0.00718390804597701,0.00727855011281753,0,0.00742500742500743,0.00747104968248039,0.0074827895839569,0,0.0148356946814035,0,0.00725900116144019,0,0,0,0.00669209663387539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521365560676524,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475850582916964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
