GEOID,decade,population,n_inventors,any_allsci,inv_per_100k,log1p_n_inventors,lon_county,lat_county
01001,1800,NA,0,0,NA,0,-86.64363878857532,32.53871063634668
01001,1810,NA,0,0,NA,0,-86.64363878857532,32.53871063634668
01001,1820,NA,1,1,NA,0.6931471805599453,-86.64363878857532,32.53871063634668
01001,1830,NA,0,0,NA,0,-86.64363878857532,32.53871063634668
01001,1840,NA,3,1,NA,1.3862943611198906,-86.64363878857532,32.53871063634668
01001,1850,15023,1,1,6.656460094521734,0.6931471805599453,-86.64363878857532,32.53871063634668
01001,1860,16739,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1870,11623,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1880,13108,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1890,13330,1,1,7.501875468867217,0.6931471805599453,-86.64363878857532,32.53871063634668
01001,1900,17915,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1910,20038,1,1,4.990518015770037,0.6931471805599453,-86.64363878857532,32.53871063634668
01001,1920,18908,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1930,19694,2,1,10.155377272265664,1.0986122886681098,-86.64363878857532,32.53871063634668
01001,1940,20977,2,1,9.534251799590027,1.0986122886681098,-86.64363878857532,32.53871063634668
01001,1950,18186,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1960,18739,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1970,24460,1,1,4.088307440719542,0.6931471805599453,-86.64363878857532,32.53871063634668
01001,1980,32259,0,0,0,0,-86.64363878857532,32.53871063634668
01001,1990,34222,0,0,0,0,-86.64363878857532,32.53871063634668
01001,2000,43671,0,0,0,0,-86.64363878857532,32.53871063634668
01003,1800,NA,0,0,NA,0,-87.7221618450693,30.72891234729268
01003,1810,NA,0,0,NA,0,-87.7221618450693,30.72891234729268
01003,1820,NA,0,0,NA,0,-87.7221618450693,30.72891234729268
01003,1830,NA,0,0,NA,0,-87.7221618450693,30.72891234729268
01003,1840,NA,0,0,NA,0,-87.7221618450693,30.72891234729268
01003,1850,4414,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1860,7530,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1870,6004,1,1,16.655562958027982,0.6931471805599453,-87.7221618450693,30.72891234729268
01003,1880,8603,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1890,8941,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1900,13194,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1910,18178,1,1,5.501155242600946,0.6931471805599453,-87.7221618450693,30.72891234729268
01003,1920,20730,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1930,28289,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1940,32324,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1950,40997,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1960,49088,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1970,59382,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1980,78556,0,0,0,0,-87.7221618450693,30.72891234729268
01003,1990,98280,0,0,0,0,-87.7221618450693,30.72891234729268
01003,2000,140415,0,0,0,0,-87.7221618450693,30.72891234729268
01005,1800,NA,0,0,NA,0,-85.38719273283441,31.86848495840162
01005,1810,NA,0,0,NA,0,-85.38719273283441,31.86848495840162
01005,1820,NA,0,0,NA,0,-85.38719273283441,31.86848495840162
01005,1830,NA,0,0,NA,0,-85.38719273283441,31.86848495840162
01005,1840,NA,0,0,NA,0,-85.38719273283441,31.86848495840162
01005,1850,23632,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1860,30812,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1870,29309,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1880,33979,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1890,34898,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1900,35152,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1910,32728,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1920,32067,1,1,3.118470701967755,0.6931471805599453,-85.38719273283441,31.86848495840162
01005,1930,32425,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1940,32722,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1950,28892,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1960,24700,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1970,22543,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1980,24756,0,0,0,0,-85.38719273283441,31.86848495840162
01005,1990,25417,0,0,0,0,-85.38719273283441,31.86848495840162
01005,2000,29038,0,0,0,0,-85.38719273283441,31.86848495840162
01007,1800,NA,0,0,NA,0,-87.12687807036366,32.99528897325922
01007,1810,NA,0,0,NA,0,-87.12687807036366,32.99528897325922
01007,1820,NA,0,0,NA,0,-87.12687807036366,32.99528897325922
01007,1830,NA,0,0,NA,0,-87.12687807036366,32.99528897325922
01007,1840,NA,0,0,NA,0,-87.12687807036366,32.99528897325922
01007,1850,9969,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1860,11894,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1870,7469,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1880,9487,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1890,13824,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1900,18498,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1910,22791,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1920,23144,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1930,20780,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1940,20155,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1950,17987,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1960,14357,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1970,13812,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1980,15723,0,0,0,0,-87.12687807036366,32.99528897325922
01007,1990,16576,0,0,0,0,-87.12687807036366,32.99528897325922
01007,2000,20826,0,0,0,0,-87.12687807036366,32.99528897325922
01009,1800,NA,0,0,NA,0,-86.56875460185059,33.9816039409203
01009,1810,NA,0,0,NA,0,-86.56875460185059,33.9816039409203
01009,1820,NA,0,0,NA,0,-86.56875460185059,33.9816039409203
01009,1830,NA,0,0,NA,0,-86.56875460185059,33.9816039409203
01009,1840,NA,0,0,NA,0,-86.56875460185059,33.9816039409203
01009,1850,7367,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1860,10865,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1870,9945,1,1,10.055304172951232,0.6931471805599453,-86.56875460185059,33.9816039409203
01009,1880,15369,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1890,21927,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1900,23119,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1910,21456,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1920,25538,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1930,28020,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1940,29490,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1950,28975,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1960,25449,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1970,26853,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1980,36459,0,0,0,0,-86.56875460185059,33.9816039409203
01009,1990,39248,0,0,0,0,-86.56875460185059,33.9816039409203
01009,2000,51024,0,0,0,0,-86.56875460185059,33.9816039409203
01011,1800,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1810,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1820,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1830,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1840,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1850,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1860,NA,0,0,NA,0,-85.71260312641594,32.10038449193206
01011,1870,24474,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1880,29066,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1890,27063,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1900,31944,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1910,30196,1,1,3.311696913498477,0.6931471805599453,-85.71260312641594,32.10038449193206
01011,1920,25333,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1930,20016,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1940,19810,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1950,16054,1,1,6.228977201943441,0.6931471805599453,-85.71260312641594,32.10038449193206
01011,1960,13462,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1970,11824,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1980,10596,0,0,0,0,-85.71260312641594,32.10038449193206
01011,1990,11042,0,0,0,0,-85.71260312641594,32.10038449193206
01011,2000,11714,0,0,0,0,-85.71260312641594,32.10038449193206
01013,1800,NA,0,0,NA,0,-86.68059454514912,31.752967869828765
01013,1810,NA,0,0,NA,0,-86.68059454514912,31.752967869828765
01013,1820,NA,0,0,NA,0,-86.68059454514912,31.752967869828765
01013,1830,NA,0,0,NA,0,-86.68059454514912,31.752967869828765
01013,1840,NA,0,0,NA,0,-86.68059454514912,31.752967869828765
01013,1850,10836,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1860,18122,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1870,14981,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1880,19649,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1890,21641,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1900,25761,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1910,29030,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1920,29531,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1930,30195,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1940,32447,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1950,29228,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1960,24560,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1970,22007,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1980,21680,0,0,0,0,-86.68059454514912,31.752967869828765
01013,1990,21892,0,0,0,0,-86.68059454514912,31.752967869828765
01013,2000,21399,0,0,0,0,-86.68059454514912,31.752967869828765
01015,1800,NA,0,0,NA,0,-85.8264077080067,33.77481541820384
01015,1810,NA,0,0,NA,0,-85.8264077080067,33.77481541820384
01015,1820,NA,0,0,NA,0,-85.8264077080067,33.77481541820384
01015,1830,NA,0,0,NA,0,-85.8264077080067,33.77481541820384
01015,1840,NA,0,0,NA,0,-85.8264077080067,33.77481541820384
01015,1850,NA,0,0,NA,0,-85.8264077080067,33.77481541820384
01015,1860,21539,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1870,13980,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1880,19591,1,1,5.104384666428462,0.6931471805599453,-85.8264077080067,33.77481541820384
01015,1890,33835,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1900,34874,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1910,39115,1,1,2.55656397801355,0.6931471805599453,-85.8264077080067,33.77481541820384
01015,1920,47822,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1930,55611,3,1,5.394616173059287,1.3862943611198906,-85.8264077080067,33.77481541820384
01015,1940,63319,1,1,1.579304790031428,0.6931471805599453,-85.8264077080067,33.77481541820384
01015,1950,79539,1,1,1.257244873584028,0.6931471805599453,-85.8264077080067,33.77481541820384
01015,1960,95878,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1970,103092,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1980,119761,0,0,0,0,-85.8264077080067,33.77481541820384
01015,1990,116034,0,0,0,0,-85.8264077080067,33.77481541820384
01015,2000,112249,0,0,0,0,-85.8264077080067,33.77481541820384
01017,1800,NA,0,0,NA,0,-85.39068865585875,32.91361308515646
01017,1810,NA,0,0,NA,0,-85.39068865585875,32.91361308515646
01017,1820,NA,0,0,NA,0,-85.39068865585875,32.91361308515646
01017,1830,NA,0,0,NA,0,-85.39068865585875,32.91361308515646
01017,1840,NA,0,0,NA,0,-85.39068865585875,32.91361308515646
01017,1850,23960,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1860,23214,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1870,17562,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1880,23440,1,1,4.266211604095563,0.6931471805599453,-85.39068865585875,32.91361308515646
01017,1890,26319,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1900,32554,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1910,36056,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1920,41201,1,1,2.4271255552049706,0.6931471805599453,-85.39068865585875,32.91361308515646
01017,1930,39313,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1940,42146,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1950,39528,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1960,37828,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1970,36356,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1980,39191,0,0,0,0,-85.39068865585875,32.91361308515646
01017,1990,36876,0,0,0,0,-85.39068865585875,32.91361308515646
01017,2000,36583,0,0,0,0,-85.39068865585875,32.91361308515646
01019,1800,NA,0,0,NA,0,-85.60640081241395,34.1779384550496
01019,1810,NA,0,0,NA,0,-85.60640081241395,34.1779384550496
01019,1820,NA,0,0,NA,0,-85.60640081241395,34.1779384550496
01019,1830,NA,0,0,NA,0,-85.60640081241395,34.1779384550496
01019,1840,NA,0,0,NA,0,-85.60640081241395,34.1779384550496
01019,1850,13884,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1860,18360,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1870,11132,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1880,19108,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1890,20459,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1900,21096,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1910,20226,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1920,20862,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1930,20219,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1940,19928,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1950,17634,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1960,16303,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1970,15606,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1980,18760,0,0,0,0,-85.60640081241395,34.1779384550496
01019,1990,19543,0,0,0,0,-85.60640081241395,34.1779384550496
01019,2000,23988,0,0,0,0,-85.60640081241395,34.1779384550496
01021,1800,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1810,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1820,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1830,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1840,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1850,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1860,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1870,NA,0,0,NA,0,-86.71739423255114,32.85045208631529
01021,1880,10793,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1890,14549,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1900,16522,1,1,6.052536012589275,0.6931471805599453,-86.71739423255114,32.85045208631529
01021,1910,23187,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1920,22770,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1930,24579,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1940,27955,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1950,26922,0,0,0,0,-86.71739423255114,32.85045208631529
01021,1960,25693,0,0,0,0,-86.71739423255114,32.85045208631529
